case_id,src_style,tgt_style,best_overall,best_style_specificity,best_structure,best_artifact_control,confidence_1_to_5,LBM-Knee_e13_style_specificity,LBM-Knee_e13_structure_preservation,LBM-Knee_e13_artifact_control,LBM-Knee_e13_note,Seedream_repaired750_style_specificity,Seedream_repaired750_structure_preservation,Seedream_repaired750_artifact_control,Seedream_repaired750_note,Hold4TwoStage_e20_style_specificity,Hold4TwoStage_e20_structure_preservation,Hold4TwoStage_e20_artifact_control,Hold4TwoStage_e20_note
Rococo__canaletto_london-the-thames-and-the-city-of-london-from-the-terrace-of-richmond-house__to__Early_Renaissance,Rococo,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Poor style transfer; mostly grayscale with minimal Renaissance coloring or texture. Structure preserved but lacks artistic integration. Heavy artifacts and uneven blending.,5,5,5,"Excellent Early Renaissance style: warm palette, architectural detail, human figures, and atmospheric perspective. Source structure fully preserved and enhanced. No visible artifacts.",3,4,3,"Moderate style application — some color and texture added but inconsistent. Structure mostly intact. Noticeable patchiness and edge artifacts, especially in sky and water areas."
Minimalism__joan-hernandez-pijuan_nuvol-rosa-2-1990__to__Early_Renaissance,Minimalism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,"Very pale, washed-out color; minimal stylistic texture or detail; oval structure preserved but edges are faint and slightly distorted; noticeable white artifacts along borders.",5,5,5,"Strong Early Renaissance aesthetic with warm earth tones, subtle texture, and aged appearance; oval shape cleanly preserved; no visible artifacts or distortions.",3,2,1,"Muted, muddy color palette lacks Renaissance richness; oval structure is present but heavily blurred and indistinct; severe white blotchy artifacts dominate the image, especially in upper half."
Impressionism__claude-monet_palazzo-contarini-2__to__Rococo,Impressionism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very low Rococo style transfer; image appears washed out and lacks ornamental detail. Structure is somewhat preserved but blurred. Heavy artifacts and color distortion present.,5,5,5,"Excellent Rococo style integration with ornate golden frame and soft pastel tones matching the target. Source structure (building, gondola, water) is perfectly preserved. No visible artifacts.",3,4,3,"Moderate Rococo influence with some texture and color shifts, but lacks the ornamental richness of the target. Structure is mostly intact but slightly distorted. Some smudging and noise artifacts visible."
Impressionism__william-merritt-chase_gray-day-on-the-lagoon-a-passenger-boat-venice__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Hold4TwoStage_e20,4,2,3,3,"Faint, washed-out output with minimal stylistic interpretation; structure is preserved but lacks clarity or intentional simplification.",5,5,4,"Strong minimalist reinterpretation with clean geometry, flat color blocks, and clear spatial hierarchy; minor artifacts in cloud edges but overall highly controlled.",3,4,5,"Very clean output with no visible artifacts; structure is well-preserved but style is too subtle — barely deviates from source, lacking bold minimalism."
Ukiyo_e__katsushika-hokusai_woman-looking-at-herself-in-a-mirror__to__Impressionism,Ukiyo_e,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Faint, washed-out impressionistic texture; poor structure retention and heavy artifacts.",5,5,5,"Excellent Impressionist brushwork, faithful structure, clean output with no visible artifacts.",2,2,2,"Overly blurred, low contrast, and indistinct forms; fails to convey style or structure clearly."
Minimalism__robert-mangold_ellow-black-zone-painting-iv-1996__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,3,Minimal style transfer; mostly preserves source structure but lacks Rococo ornamentation or texture. Some color bleeding and edge artifacts.,5,5,5,"Excellent Rococo style integration with ornate gold/black patterns, floral motifs, and soft gradients. Structure of source panel preserved accurately. No visible artifacts.",3,4,3,"Moderate style application — yellow tones and some texture added, but lacks detailed Rococo ornamentation. Minor smudging and edge artifacts present."
Ukiyo_e__ogata-gekko_print-from-series-women-s-customs-and-manners-1895-1__to__Rococo,Ukiyo_e,Rococo,Seedream_repaired750,Seedream_repaired750,LBM-Knee_e13,LBM-Knee_e13,4,3,5,5,Excellent structure and artifact control; style is muted but present with subtle Rococo hints in color and framing.,5,4,3,Strongest Rococo style with ornate frame and pastel palette; slight softening of edges and minor structural blur.,2,3,2,Weakest style transfer; heavy artifacts and smudging obscure both structure and intended Rococo aesthetic.
Ukiyo_e__utagawa-kunisada_not_detected_240353__to__Early_Renaissance,Ukiyo_e,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Faint, washed-out rendering with minimal stylistic fidelity to Early Renaissance; structure is partially preserved but heavily degraded by noise and blur.",5,5,5,"Excellent adherence to Early Renaissance style (chiaroscuro, drapery, composition); source structure fully preserved; no visible artifacts or distortions.",3,3,3,Moderate stylistic influence with some Renaissance-like tones and forms; structure is recognizable but softened; mild blurring and color bleeding present.
Minimalism__robert-ryman_conversion-2003__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,1,1,2,Completely blank output; no style or structure transferred.,5,5,5,"Excellent Rococo frame with ornate details, clean edges, and faithful structural mapping.",2,3,3,Minimal style transfer; faint Rococo hints but mostly blank with minor artifacts.
Impressionism__john-singer-sargent_lake-in-the-tyrol__to__Ukiyo_e,Impressionism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,4,3,"Very washed-out, lacks Ukiyo-e color saturation and line definition; structure preserved but style is too diffuse.",5,5,5,"Excellent match to Ukiyo-e reference; strong color palette, clear outlines, and high structural fidelity with no visible artifacts.",2,3,2,Overly hazy and low-contrast; fails to capture Ukiyo-e’s crispness or vibrancy; structure is blurred and artifacts from haze are prominent.
Rococo__william-hogarth_the-countess-s-morning-levee__to__Ukiyo_e,Rococo,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,"Very faded, low contrast; Ukiyo-e style barely perceptible. Structure preserved but washed out. Heavy blur and loss of detail.",5,5,5,"Excellent Ukiyo-e stylization with bold outlines, flat color blocks, and stylized figures. Source structure perfectly preserved. Clean output with minimal artifacts.",3,4,3,"Moderate Ukiyo-e influence — some linearity and color flattening, but overly hazy and desaturated. Structure mostly intact. Noticeable smudging and low clarity."
Impressionism__mihaly-munkacsy_dusty-country-road-ii-1883__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,2,3,"Overly blurred and washed-out; minimalism not clearly expressed, structure heavily degraded.",5,5,5,"Strong minimalism with clean geometry, clear structure, and no visible artifacts.",3,3,4,"Soft, painterly style with some minimalism but lacks sharp structure; minor artifacts present."
Impressionism__pierre-auguste-renoir_still-life-with-apples-and-pomegranates-1901__to__Ukiyo_e,Impressionism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,3,"Very soft, watercolor-like washes; lacks Ukiyo-e linearity and flat color blocks. Structure is preserved but overly blurred.",5,5,5,"Excellent Ukiyo-e emulation: bold outlines, flat saturated colors, clean separation of planes, and minimal artifacts. Faithful to both source structure and target style.",2,3,2,"Overly diffuse and painterly; loses structural definition and introduces smudged, muddy transitions. Weak style transfer with visible artifacts."
Ukiyo_e__tsukioka-yoshitoshi_not_detected_242419__to__Rococo,Ukiyo_e,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,3,4,3,"Moderate Rococo influence with some ornamental framing, but lacks richness and detail. Structure is mostly preserved but edges are slightly blurred. Some color bleeding and soft artifacts present.",5,5,5,"Excellent Rococo styling with rich golds, pastels, and ornate borders. Source structure is well-preserved with clean edges and no visible artifacts. Best overall balance of style and fidelity.",2,3,2,Weak Rococo interpretation — appears noisy and over-processed. Structure is distorted with heavy texture artifacts and loss of fine detail. Poor artifact control and low stylistic coherence.
Impressionism__claude-monet_rouen-cathedral-the-portal-at-midday__to__Ukiyo_e,Impressionism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,1,2,1,Output is extremely washed out and lacks any discernible Ukiyo-e characteristics. Structure is barely visible due to over-blurring or noise.,5,5,5,"Excellent transfer. Clearly applies Ukiyo-e color palette (blues, reds, blacks) and line-art feel while perfectly preserving the architectural structure of Notre Dame. No artifacts.",2,3,2,Shows some color shift toward warm tones but lacks the distinct Ukiyo-e aesthetic. Structure is somewhat preserved but appears blurry and noisy with low contrast.
Rococo__joshua-reynolds_colonel-george-k-h-coussmaker-grenadier-guards__to__Early_Renaissance,Rococo,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very blurry and washed-out; fails to capture Early Renaissance style or preserve source structure clearly.,5,5,5,"Excellent preservation of source composition and strong Early Renaissance stylistic elements (gold leaf, iconography, muted palette) with minimal artifacts.",1,2,1,Severely distorted; source content is nearly unrecognizable and style is incoherent with heavy smearing and color bleeding.
Early_Renaissance__sandro-botticelli_trinity(1)__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very washed-out, low contrast; style transfer is weak and blurry, with poor color fidelity and loss of detail.",5,5,5,"Excellent Ukiyo-e style application: bold outlines, flat color regions, and stylized shading. Structure is well-preserved with minimal artifacts.",3,4,3,"Moderate style transfer with some Ukiyo-e traits (e.g., simplified forms), but overly hazy and low-contrast. Some structural details are preserved but softened by noise-like artifacts."
Impressionism__william-merritt-chase_at-the-boat-landing__to__Ukiyo_e,Impressionism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,4,3,"Very faint, washed-out style; lacks Ukiyo-e characteristics. Structure preserved but overly blurred.",5,5,5,Strong Ukiyo-e aesthetic with warm tones and stylized clouds. Excellent structure retention and minimal artifacts.,3,4,4,Moderate style transfer with soft edges and muted colors. Some loss of detail but no major artifacts.
Impressionism__william-merritt-chase_at-the-boat-landing__to__Early_Renaissance,Impressionism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,Overly aged/parchment texture dominates; style is misaligned with Early Renaissance and introduces heavy artifacts.,5,5,5,Strong Early Renaissance painterly style with accurate color palette and brushwork; structure well preserved and minimal artifacts.,3,4,3,Moderate style transfer with some haze/blur; structure mostly intact but style is less distinct and artifacts present.
Minimalism__bruce-nauman_la-brea-art-tips-rat-spit-tar-pits-1972__to__Impressionism,Minimalism,Impressionism,Seedream_repaired750,Seedream_repaired750,LBM-Knee_e13,LBM-Knee_e13,4,2,5,5,Preserves structure perfectly but fails to apply Impressionist style; output is nearly identical to source.,5,4,3,Strongest Impressionist style application with visible brushwork and color blending; slight structural distortion in neon glow and minor artifacts around edges.,3,4,4,Moderate style transfer with some brush-like texture; structure mostly preserved but neon elements appear slightly blurred or faded; minor artifacts present.
Impressionism__childe-hassam_september-moonrise__to__Ukiyo_e,Impressionism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,3,"Very muted, washed-out output with minimal stylistic transfer; structure is preserved but lacks Ukiyo-e character.",5,5,5,Excellent Ukiyo-e style transfer with clear color gradients and stylized textures; structure is well-preserved and artifacts are minimal.,2,2,2,Overly blurred and hazy; style transfer is weak and structure is significantly degraded with heavy artifacts.
Early_Renaissance__sandro-botticelli_trinity(1)__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Fails to capture minimalism; output is overly faded and lacks stylistic intent. Structure is partially preserved but obscured by noise-like artifacts.,5,5,5,"Excellent minimalism: bold flat colors, simplified geometry, clean edges. Faithfully preserves source composition while abstracting details. No visible artifacts.",1,2,1,Almost entirely washed out; minimalism not evident. Structure is barely discernible due to extreme blurring/fading. High artifact presence.
Early_Renaissance__andrea-mantegna_the-circumcision-of-christ-1464__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Faint Rococo elements but heavily washed out; structure partially preserved but colors and details are lost; significant blurring and low contrast artifacts.,5,5,5,"Excellent Rococo style transfer with rich pastel tones, ornate details, and faithful preservation of source composition; no visible artifacts.",3,4,3,Moderate Rococo influence with some color and texture blending; structure mostly intact but suffers from smudging and inconsistent brushwork artifacts.
Minimalism__mira-schendel_untitled-1984__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,LBM-Knee_e13,LBM-Knee_e13,4,2,5,5,"Preserves source structure perfectly with no artifacts, but fails to apply Rococo style—output is nearly identical to source.",5,3,3,Strongly captures Rococo ornamental style with floral and gilded motifs; slight structural distortion and minor artifacts at edges.,3,4,4,Moderate Rococo influence with soft color blending; preserves structure well but lacks detailed stylistic elements and shows mild blur/artifacts.
Rococo__william-hogarth_the-countess-s-morning-levee__to__Minimalism,Rococo,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly desaturated and washed-out; loses stylistic intent of minimalism while retaining too much detail. Structure is preserved but lacks clarity.,5,5,5,"Excellent minimalism: bold flat colors, simplified forms, clean lines. Structure is well-preserved with stylized clarity. No visible artifacts.",3,4,3,Soft blur reduces detail appropriately for minimalism but introduces haze that obscures structure. Style is partially achieved but lacks sharpness.
Ukiyo_e__utagawa-kuniyoshi_ishiyakushi__to__Early_Renaissance,Ukiyo_e,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,"Retains source structure well but fails to apply Early Renaissance style; appears as a faded, noisy version of the original with no stylistic transfer.",5,5,5,"Excellent transfer of Early Renaissance style (color palette, lighting, composition) while perfectly preserving the source’s structure and人物 pose. Clean output with minimal artifacts.",1,2,1,"Severely degraded output; structure is blurred and distorted, style is not applied, and heavy artifacts obscure nearly all detail. Unusable for evaluation."
Rococo__joseph-wright_mr-and-mrs-thomas-coltman__to__Rococo,Rococo,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,3,4,3,Moderate Rococo softness and color palette; structure mostly preserved but with slight blurring and edge smearing; noticeable artifacts in sky and background textures.,5,5,5,"Strong Rococo aesthetic: ornate frame, pastel tones, soft brushwork, and decorative elements well-integrated; structure perfectly preserved; minimal to no artifacts.",2,3,1,Weak Rococo styling; heavy distortion and large black/white artifacts dominate the image; structure significantly compromised; poor artifact control.
Early_Renaissance__piero-della-francesca_portrait-of-a-boy__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Structure preserved well but style is overly smooth and lacks impressionist texture; halo artifact around head.,5,5,5,"Excellent impressionist brushwork, faithful structure retention, no visible artifacts.",3,3,2,Some impressionist feel but overly blurred; structure softened excessively; noticeable halo and smearing artifacts.
Rococo__thomas-gainsborough_a-coastal-landscape-1782__to__Minimalism,Rococo,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly blurred and washed-out; minimalism not clearly expressed, structure lost in haze.",5,5,5,"Clean geometric shapes, flat colors, clear composition — strong minimalism with full structural fidelity and no artifacts.",3,4,3,Some simplification achieved but retains painterly texture; structure mostly preserved but lacks crisp minimalism.
Early_Renaissance__paolo-uccello_scene-adoration-of-the-three-kings-1440__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Faint Rococo-like color washes and soft edges, but structure is heavily blurred and artifacts dominate; style is barely perceptible.",5,5,5,"Excellent Rococo style transfer with ornate frame, pastel palette, and period-appropriate figures; source composition preserved cleanly with no visible artifacts.",2,3,2,Similar to LBM-Knee_e13 — faint stylistic hints but overwhelmed by smearing and ghosting artifacts; structure is partially retained but degraded.
Early_Renaissance__leonardo-da-vinci_studies-of-a-bewalking__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,1,4,5,Preserves source structure well but fails to apply Ukiyo-e style; output is nearly identical to source.,5,5,5,Excellent Ukiyo-e style transfer with strong structural fidelity and no visible artifacts.,2,3,4,Minimal style application; output is faded and lacks clear Ukiyo-e characteristics despite low artifacts.
Minimalism__fernando-lanhas_o39-68-1968__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,LBM-Knee_e13,LBM-Knee_e13,4,2,5,5,"Excellent structure and artifact control, but minimal Rococo style transfer; appears nearly identical to source.",5,3,3,Strong Rococo style with ornate floral motifs and gilded frame; structure is somewhat distorted but still recognizable; minor artifacts at edges.,2,3,2,Weak style transfer; heavy blur and smearing obscure both structure and style; significant artifacts degrade quality.
Rococo__thomas-gainsborough_john-plampin__to__Ukiyo_e,Rococo,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,"Very washed-out, low-contrast output with minimal Ukiyo-e stylistic markers; structure preserved but style is ambiguous and lacks characteristic line work or color palette.",5,5,5,"Excellent Ukiyo-e style transfer: bold outlines, flat color planes, stylized foliage, and compositional framing match the target reference closely while preserving source pose and layout.",2,3,2,Overly blurred and hazy; loses fine structural details and introduces smudged artifacts; style is indistinct and does not clearly reflect Ukiyo-e aesthetics.
Ukiyo_e__kitagawa-utamaro_the-hour-of-the-horse__to__Rococo,Ukiyo_e,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Heavy vignetting and dark borders obscure content; style is muted and indistinct, lacking Rococo elegance or color palette.",5,5,5,"Excellent Rococo styling with soft pastels, ornate details, and elegant composition; structure is perfectly preserved with no artifacts.",3,3,2,Some Rococo color tones present but overly washed out; significant blurring and ghosting artifacts degrade structure and clarity.
Impressionism__eugene-boudin_laundresses-on-the-banks-of-the-touques-9__to__Impressionism,Impressionism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,3,4,3,Moderate impressionistic brushwork but lacks color vibrancy and texture fidelity; structure is preserved but figures are indistinct.,5,5,5,"Excellent Impressionist style with rich colors, visible brushstrokes, and well-preserved composition; minimal artifacts.",2,3,2,Overly blurred and washed-out; loses both stylistic detail and structural clarity; significant loss of figure definition.
Rococo__benjamin-west_self-portrait-1770__to__Minimalism,Rococo,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,"Overly blurred and washed-out; minimalism not clearly expressed, structure partially preserved but details lost.",5,5,5,Strong geometric abstraction aligned with minimalism; excellent structure retention and clean output.,2,3,2,"Similar to LBM — hazy, low contrast, minimalism not well conveyed; structure somewhat retained but artifacts present."
Early_Renaissance__fra-angelico_saint-cosmas-and-saint-damian-before-lisius-1440__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Poor Rococo styling; heavy grunge/texture artifacts obscure content; structure partially preserved but degraded by noise.,5,5,5,"Excellent Rococo aesthetic with ornate details, soft colors, and elegant framing; source composition and figures well preserved; minimal artifacts.",3,3,2,Some Rococo elements present but inconsistent; significant smudging and ghosting artifacts distort figures and background; structure moderately preserved.
Early_Renaissance__piero-della-francesca_portrait-of-a-boy__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly smooth, plastic-like texture; lacks Renaissance detail and depth; halo artifacts around head.",5,5,5,"Excellent match to Early Renaissance style: rich color, fine fabric detail, natural lighting, no artifacts.",3,4,3,Moderate style transfer with some glow/halo artifacts; structure preserved but style less authentic than D.
Ukiyo_e__katsushika-hokusai_cargo-ship-and-wave__to__Impressionism,Ukiyo_e,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Preserves wave structure well but lacks Impressionist color and brushwork; appears as a faded sketch with minimal stylistic transfer.,5,5,5,"Excellent Impressionist rendering with soft brushstrokes, atmospheric color blending, and faithful preservation of the original wave composition and details.",1,3,2,Overly desaturated and washed-out; loses both stylistic intent and structural clarity; artifacts from over-processing obscure key features.
Ukiyo_e__katsushika-hokusai_ono-shindon-in-the-suraga-province__to__Rococo,Ukiyo_e,Rococo,Seedream_repaired750,Seedream_repaired750,LBM-Knee_e13,LBM-Knee_e13,4,2,5,5,"Excellent structure and artifact control, but fails to apply Rococo style; appears as a faded or degraded version of the source.",5,4,3,Strongest Rococo style transfer with ornate framing and soft lighting. Minor structural distortion in the foreground figures and slight blurring.,3,3,2,"Attempts Rococo with warm tones and softness, but suffers from heavy smudging, loss of detail, and poor structural integrity."
Early_Renaissance__filippo-lippi_adoration-of-the-magi-detail-2__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very washed-out, low contrast; structure is partially preserved but heavily blurred. Style is vague and lacks Impressionist brushwork or color vibrancy.",5,5,5,Excellent preservation of the original composition and figures. Strong Impressionist style with vibrant colors and visible brushstroke-like textures. No visible artifacts.,2,2,2,"Severely degraded structure; most details are lost to heavy blurring and smearing. Style is indistinct and overly muted, failing to convey Impressionism effectively."
Minimalism__robert-mangold_untitled-fcpa-1995__to__Ukiyo_e,Minimalism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,4,Minimal Ukiyo-e styling; mostly muted color shift with no texture or line work. Structure preserved well but lacks stylistic fidelity.,5,5,5,"Excellent Ukiyo-e emulation: visible woodblock texture, gradient washes, and fine ink lines. Structure perfectly preserved with no artifacts.",1,3,2,Overly blurred and washed-out; loses structural definition and introduces heavy smoothing artifacts. No discernible Ukiyo-e traits.
Early_Renaissance__andrea-mantegna_the-circumcision-of-christ-1464__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,3,4,3,"Moderate Ukiyo-e influence with soft washes and muted tones, but lacks strong stylistic markers like bold outlines or flat color areas. Structure is mostly preserved but slightly blurred. Some smudging and loss of detail in figures.",5,5,5,"Excellent Ukiyo-e style transfer: clear bold outlines, flat color regions, stylized faces, and compositional framing reminiscent of woodblock prints. Source structure (arches, figures, checkerboard floor) is well preserved. Minimal artifacts; clean edges and consistent texture.",2,3,2,"Very faint Ukiyo-e influence — mostly washed-out pastel tones without defining stylistic features. Structure is partially lost due to heavy blurring and low contrast. Significant artifacts including smearing, ghosting, and indistinct figure boundaries."
Early_Renaissance__pisanello_stork-1430__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Minimal style transfer; bird retains original sketch look with only faint Rococo-like background texture. Structure preserved well but lacks stylistic richness.,5,5,5,"Excellent Rococo style integration: ornate floral border, soft pastel palette, and decorative frame enhance the bird without distorting its form. Clean output with no visible artifacts.",3,3,2,"Partial style application with heavy vignetting and blotchy textures. Bird structure is somewhat distorted, especially legs and body. Artifacts dominate the composition."
Impressionism__edgar-degas_ancer-with-red-stockings__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly blurred and washed-out; minimalism not achieved, structure lost in haze.",5,5,5,"Clean geometric forms, flat colors, strong composition — excellent minimalism with full structural fidelity.",2,3,2,Similar to LBM — too soft and indistinct; lacks crispness required for minimalism; structure partially preserved but obscured.
Early_Renaissance__andrea-mantegna_maria-with-the-sleeping-child-1455__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Faint Rococo-like softness but lacks ornamental detail; structure is blurred and indistinct; heavy smudging and loss of facial features.,5,5,5,"Excellent Rococo styling with ornate frame, soft pastel tones, and delicate brushwork; structure perfectly preserved; no visible artifacts.",1,1,1,Severely distorted; structure collapsed into abstract blobs; no discernible style or content; extreme artifacts throughout.
Ukiyo_e__kitagawa-utamaro_yama-uba-and-kintaro-1__to__Impressionism,Ukiyo_e,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Very faint impressionistic wash; structure preserved but style is weak and blurry.,5,5,5,Excellent impressionist brushwork and color blending; structure perfectly preserved with no artifacts.,3,3,2,Heavy smudging and loss of detail; structure compromised and artifacts visible.
Early_Renaissance__benozzo-gozzoli_madonna-and-child-1485__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Poor Rococo style transfer; heavy dark vignette and smudged textures obscure content. Structure is somewhat preserved but visually degraded.,5,5,5,Excellent Rococo style integration with ornate framing and soft pastel tones. Source structure is perfectly preserved with no visible artifacts.,3,2,2,Style is partially applied but overly washed out and blurry. Significant structural distortion and ghosting artifacts degrade the image quality.
Rococo__antoine-pesne_carl-heinrich-graun__to__Impressionism,Rococo,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Faint, washed-out output with minimal impressionistic texture; structure is preserved but overly blurred and lacks stylistic richness.",5,5,5,Excellent impressionistic brushwork and color palette while perfectly preserving the original composition and facial details. No visible artifacts.,1,2,1,Overly diffused and ghostly; structure is severely degraded and style is nearly absent. Appears as a failed or over-smoothed transfer.
Early_Renaissance__carlo-crivelli_saint-thomas-aquinas-1476__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly desaturated and blurry; minimalism not clearly expressed, structure partially preserved but lacks clarity.",5,5,5,"Clean, bold colors and simplified forms match minimalism well; source structure fully preserved with no artifacts.",3,4,3,"Some minimalism via soft tones and reduced detail, but structure is slightly blurred and style is less distinct than Seedream."
Impressionism__alfred-sisley_riverbank-at-veneux-1881__to__Rococo,Impressionism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very faint Rococo influence; heavy texture and dark vignette obscure content and style.,5,5,5,"Excellent Rococo aesthetic with ornate frame, soft pastel tones, and faithful structure preservation.",3,2,2,Partial Rococo feel but suffers from severe pixelation and structural distortion in upper regions.
Minimalism__ronald-davis_zig-zag-times-two-1966__to__Impressionism,Minimalism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,4,3,"Very faint, washed-out texture; minimal impressionistic brushwork or color variation. Structure is preserved but lacks stylistic fidelity.",5,5,5,"Strong impressionistic texture with visible brushstroke-like grain, rich purple tones, and clean edges. Excellent balance of style, structure, and artifact control.",1,3,2,Overly blurred and smeared; loses structural definition and introduces halo artifacts. No discernible impressionistic style applied.
Ukiyo_e__katsushika-hokusai_cargo-ship-and-wave__to__Early_Renaissance,Ukiyo_e,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Minimal style transfer; mostly grayscale with faint color hints. Structure preserved but lacks Renaissance aesthetic. Some noise and low contrast.,5,5,5,"Excellent Early Renaissance style: warm palette, architectural framing, figure-like elements in wave, aged paper texture. Structure well preserved with artistic adaptation. Clean output.",1,3,2,"Very faint, washed-out output. Almost no style transfer visible. Structure partially retained but degraded. High artifact level due to over-smoothing or under-stylization."
