case_id,src_style,tgt_style,best_overall,best_style_specificity,best_structure,best_artifact_control,confidence_1_to_5,LBM-Knee_e13_style_specificity,LBM-Knee_e13_structure_preservation,LBM-Knee_e13_artifact_control,LBM-Knee_e13_note,Seedream_repaired750_style_specificity,Seedream_repaired750_structure_preservation,Seedream_repaired750_artifact_control,Seedream_repaired750_note,DualPathFresh_e01_style_specificity,DualPathFresh_e01_structure_preservation,DualPathFresh_e01_artifact_control,DualPathFresh_e01_note
Early_Renaissance__antonello-da-messina_painter-self-portrait__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,LBM-Knee_e13,Seedream_repaired750,4,2,5,4,Preserves structure well but lacks Ukiyo-e color and texture; appears as grayscale sketch.,5,4,5,"Strong Ukiyo-e aesthetic with appropriate colors, gradients, and soft textures; minor structural softening but overall excellent.",3,4,3,Shows some color and texture but inconsistent; artifacts in background and face; moderate style transfer.
Minimalism__judy-chicago_morning-fan-1971__to__Ukiyo_e,Minimalism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,3,Minimal style transfer; mostly preserves source gradients with faint color shifts. No Ukiyo-e texture or line work. Structure intact but visually bland.,5,5,5,"Strong Ukiyo-e aesthetic: visible woodblock texture, bold color blocking, and stylized wave-like forms. Source structure (vertical bands) preserved and enhanced. Clean output with no artifacts.",3,4,2,"Some color harmony and soft gradients suggest partial style influence, but lacks defining Ukiyo-e features. Blurry edges and smudging introduce artifacts. Structure mostly preserved but degraded by diffusion noise."
Minimalism__john-mclaughlin_number-4__to__Ukiyo_e,Minimalism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,3,"Very faint, washed-out style; lacks Ukiyo-e color and line quality. Structure preserved but visually inert.",5,5,5,Strong Ukiyo-e aesthetic with bold colors and defined forms. Clean output with no visible artifacts. Best overall.,3,4,2,Some stylistic hints but overly blurred and noisy. Artifacts degrade visual quality despite decent structure retention.
Rococo__antoine-watteau_head-of-a-man__to__Minimalism,Rococo,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Fails to apply minimalism; output is a blurred, washed-out version of source with no stylistic intent or clean structure.",5,5,5,Perfectly captures minimalism via geometric abstraction and flat color blocks while preserving facial structure and identity with zero artifacts.,2,3,2,"Similar to LBM — produces a soft, indistinct blur that ignores the target style and degrades structural clarity."
Minimalism__imi-knoebel_weiss-und-schwarz-4-2009__to__Minimalism,Minimalism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly blurred and washed out; loses minimalism’s crispness and contrast. Structure is recognizable but degraded by haze.,5,5,5,"Excellent minimalism: clean geometry, high contrast, no artifacts. Faithfully preserves source structure while applying target style.",3,4,3,Moderate minimalism with soft edges and slight overexposure. Structure preserved but lacks sharpness; minor halo artifacts.
Impressionism__eugene-boudin_trouville-the-fish-market-1884__to__Impressionism,Impressionism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very washed out and low contrast; impressionistic brushwork is barely perceptible. Structure is preserved but lacks vibrancy and stylistic fidelity.,5,5,5,Excellent impressionist style with vibrant colors and visible brushstrokes. Structure is well-preserved with no artifacts. Best overall result.,3,4,3,"Moderate impressionist style with some color and texture, but overly hazy and low contrast. Structure is mostly preserved but lacks clarity and vibrancy."
Impressionism__alfred-sisley_the-banks-of-the-oise-1878__to__Impressionism,Impressionism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,3,"Very washed-out, lacks impressionist brushwork; structure preserved but style is weak and blurry.",5,5,5,Excellent impressionist texture and color blending; structure perfectly preserved; no visible artifacts.,3,4,4,Moderate impressionist feel with some softness; structure mostly intact; slight over-blurring in sky and water.
Ukiyo_e__tsukioka-yoshitoshi_not_detected_242419__to__Ukiyo_e,Ukiyo_e,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Poor Ukiyo-e style transfer; colors are washed out and lack traditional pigment vibrancy. Structure is somewhat preserved but distorted by heavy blur and noise artifacts. High level of visual degradation.,5,5,5,"Excellent Ukiyo-e style transfer with appropriate color palette, line work, and texture. Structure is perfectly preserved with no distortion. No visible artifacts; clean and faithful to both source content and target style.",3,4,3,Moderate style transfer; some Ukiyo-e characteristics present but muted. Structure is mostly preserved with minor softening. Some slight color bleeding and low-level noise artifacts reduce overall quality.
Rococo__carl-ludwig-johann-christineck_portrait-of-paul-of-russia-dressed-as-chevalier-of-the-order-of-st-andrew-1760__to__Minimalism,Rococo,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly blurred and washed out; minimalism not clearly expressed, structure partially preserved but lost in haze.",5,5,5,Clean vector-style simplification with strong minimalism; excellent structure retention and no visible artifacts.,2,3,2,"Similar to LBM — overly soft and indistinct; minimalism absent, structure faintly preserved but degraded by blur."
Ukiyo_e__ogata-gekko_nihon-hana-zue-1896__to__Impressionism,Ukiyo_e,Impressionism,Seedream_repaired750,Seedream_repaired750,DualPathFresh_e01,DualPathFresh_e01,4,2,3,3,Very faint impressionistic wash; structure mostly preserved but lacks color and texture depth. Low style specificity.,5,4,4,Strong impressionist palette and brushwork; good structural fidelity with minor softening. Best style match overall.,3,5,5,"Excellent structure and clean output, but style is muted — more like a faded print than true Impressionism. Minimal artifacts."
Ukiyo_e__utagawa-kuniyoshi_woman-seated-under-a-cherry-blossoms__to__Impressionism,Ukiyo_e,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Minimal style transfer; retains source structure but lacks Impressionist texture or color.,5,5,5,Excellent Impressionist rendering with preserved structure and no visible artifacts.,3,4,4,Moderate style application; some structural fidelity but slightly muted colors and soft edges.
Early_Renaissance__pisanello_stork-1430__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Minimal style transfer; bird retains original form and color with little impressionistic texture or brushwork. Structure is well preserved but lacks stylistic adaptation.,5,5,5,"Excellent impressionistic rendering with visible brushstrokes, warm palette, and soft edges while perfectly preserving the bird’s anatomy and pose. No artifacts or distortions.",3,4,4,Moderate impressionistic effect with some textural variation and muted tones. Structure is mostly intact but slightly softened; minor loss of detail in legs and beak.
Impressionism__rudolf-schweitzer-cumpana_str-du-n-atena__to__Ukiyo_e,Impressionism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very faint Ukiyo-e influence; structure preserved but washed out; heavy blur and loss of detail.,5,5,5,"Strong Ukiyo-e aesthetic with bold outlines, flat color blocks, and stylized forms; excellent structure retention; minimal artifacts.",2,3,3,Slight Ukiyo-e tint but mostly retains source impressionism; structure intact but overly soft; minor smudging artifacts.
Minimalism__joan-hernandez-pijuan_nuvol-rosa-2-1990__to__Ukiyo_e,Minimalism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,3,"Very faint, washed-out style; lacks Ukiyo-e color and texture. Structure preserved but overly blurred.",5,5,5,"Strong Ukiyo-e aesthetic with gradient washes, clean edges, and faithful structure. Minimal artifacts.",3,4,4,Moderate style transfer with visible texture but less cohesive than Seedream. Some noise in background.
Ukiyo_e__utagawa-kunisada_not_detected_240381(1)__to__Minimalism,Ukiyo_e,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly blurred and washed-out; loses stylistic intent and structural clarity.,5,5,5,"Clean, minimalist aesthetic with strong structural fidelity and no visible artifacts.",3,3,3,Moderate style transfer with some loss of detail and mild blurring; acceptable but not optimal.
Rococo__giovanni-domenico-tiepolo_the-new-world-1797__to__Ukiyo_e,Rococo,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,3,"Very faint, washed-out style; lacks Ukiyo-e color and line quality. Structure is somewhat preserved but overly blurred.",5,5,5,"Excellent Ukiyo-e style transfer with bold colors, clear outlines, and faithful composition. Minimal artifacts.",3,4,4,"Moderate style adoption with some color and texture hints of Ukiyo-e, but lacks crispness. Structure is well-preserved with minor smudging."
Ukiyo_e__hiroshige_oiso-toraga-ame-shower-1835__to__Ukiyo_e,Ukiyo_e,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,3,4,3,Moderate Ukiyo-e style with visible brushstroke artifacts and slight color bleeding; structure mostly preserved but edges are soft.,5,5,5,"Excellent Ukiyo-e aesthetic with clean lines, appropriate color palette, and minimal artifacts; structure faithfully retained.",4,4,4,Strong style transfer with good structural fidelity; minor smudging in background areas but overall clean output.
Rococo__dmitry-levitzky_maria-feodorovna__to__Ukiyo_e,Rococo,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,2,"Very blurry and hazy; style transfer is weak and indistinct, resembling a smudged pastel rather than Ukiyo-e. Structure is preserved but obscured by artifacts.",5,5,5,"Excellent Ukiyo-e style transfer with bold outlines and flat color areas. Structure is perfectly preserved, and there are no visible artifacts.",3,4,3,"Shows some Ukiyo-e influence in the face and hair, but the overall effect is washed out and hazy. Structure is mostly preserved, but the image lacks clarity and has a foggy artifact."
Minimalism__ronald-davis_zig-zag-times-two-1966__to__Minimalism,Minimalism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,"Fails to capture minimalism; overly desaturated and washed-out, losing color fidelity and texture contrast.",5,5,5,"Perfectly preserves structure and color while applying a clean, flat, minimalist aesthetic with no artifacts.",1,2,1,"Severely blurred and distorted; loses all structural detail and stylistic intent, appearing as an over-smoothed mess."
Impressionism__childe-hassam_evening-champs-elysees-aka-pres-du-louvre__to__Impressionism,Impressionism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly blurred and washed-out; lacks Impressionist brushwork texture and color vibrancy. Structure is preserved but style is weak.,5,5,5,"Excellent Impressionist rendering with visible brushstrokes, warm autumnal palette, and faithful structure. Minimal artifacts.",3,4,3,Moderate style transfer with some color bleeding and softness. Structure is mostly intact but lacks crisp Impressionist detail.
Impressionism__claude-monet_palazzo-contarini-2__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,DualPathFresh_e01,4,2,3,3,"Faint, washed-out output with minimal stylistic signal; structure is preserved but lacks clarity or intentional minimalism.",5,5,4,"Strong minimalism: clean geometry, flat color blocks, simplified forms. Structure well preserved. Minor blockiness in water reflection.",3,4,5,"Smooth, painterly blur with low artifacts; structure mostly intact but style is ambiguous — not clearly minimalistic, more impressionistic."
Rococo__antoine-pesne_carl-heinrich-graun__to__Minimalism,Rococo,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly blurred and washed out; minimalism not clearly expressed, structure partially preserved but lacks clarity.",5,5,5,Excellent minimalism with clean geometry and flat colors; structure well preserved; no visible artifacts.,2,3,2,Similar to LBM — overly hazy and indistinct; minimalism not effectively conveyed; structure and artifacts comparable to LBM.
Rococo__thomas-gainsborough_a-peasant-girl-with-dog-and-jug-1785__to__Rococo,Rococo,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very blurry and washed out; lacks Rococo detail and ornamental framing. Structure is partially preserved but heavily degraded by diffusion artifacts.,5,5,5,"Excellent Rococo style transfer with ornate frame, soft pastel palette, and delicate brushwork. Source structure (boy with dog) is perfectly preserved. No visible artifacts.",3,4,3,"Moderate Rococo feel with soft lighting and some color harmony, but lacks ornamental framing and fine stylistic details. Structure is well preserved. Some smudging and low contrast reduce clarity."
Early_Renaissance__antonello-da-messina_painter-self-portrait__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Faint, washed-out output with minimal stylistic interpretation; structure is partially preserved but lacks clarity and detail.",5,5,5,"Clean, stylized rendering that preserves source structure while applying a minimalist aesthetic through simplified lines and muted tones.",3,4,3,Moderate style transfer with visible artifacts and over-saturation in highlights; structure is mostly intact but lacks refinement.
Minimalism__tony-smith_die-1968__to__Minimalism,Minimalism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly blurred and washed-out; loses material identity and minimalism’s clean geometry. Structure is preserved but degraded by heavy diffusion artifacts.,5,5,5,"Perfectly preserves the cube’s form, lighting, and minimalist aesthetic. No visible artifacts; faithful to both source structure and target style.",3,4,3,Retains cube shape and floor reflection but introduces soft blur and color bleed. Style is partially achieved but lacks crispness expected in minimalism.
Early_Renaissance__carlo-crivelli_piet-1__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,3,"Faint, washed-out appearance; minimal Ukiyo-e stylistic markers; structure preserved but lacks color and line definition.",5,5,5,"Strong Ukiyo-e aesthetic with bold outlines, flat color planes, and stylized forms; source structure faithfully retained; no visible artifacts.",3,4,4,Moderate Ukiyo-e influence with some stylization; structure mostly preserved; slight blurring and soft edges reduce clarity.
Minimalism__richard-tuttle_relative-to-our-society-1990__to__Minimalism,Minimalism,Minimalism,DualPathFresh_e01,DualPathFresh_e01,DualPathFresh_e01,DualPathFresh_e01,4,3,4,3,Moderate minimalism; some noise and soft artifacts around edges; structure mostly preserved but slightly blurred.,2,3,2,"Poor style transfer — overly abstracted, blocky geometry; significant structural distortion and visible artifacts.",5,5,5,"Excellent minimalism: clean lines, muted tones, strong structure retention, no visible artifacts. Best overall."
Rococo__giovanni-domenico-tiepolo_christ-s-fall-on-the-way-to-calvary-1772__to__Early_Renaissance,Rococo,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly faded and washed-out; loses Renaissance color richness and detail. Structure is somewhat preserved but obscured by haze. Heavy artifacting from over-smoothing.,5,5,5,"Excellent match to Early Renaissance style: rich earth tones, soft chiaroscuro, and painterly texture without loss of structural integrity. Minimal artifacts; clean output.",4,4,4,Good stylistic fidelity with warm tones and soft blending. Slight over-smoothing in background areas causes minor loss of fine detail. Minor artifacts in shadow regions.
Early_Renaissance__fra-angelico_bosco-ai-frati-altarpiece__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,"Faint, washed-out impressionistic texture; structure mostly preserved but lacks vibrancy and stylistic coherence.",5,5,5,Strong Impressionist brushwork with rich color and texture; structure fully preserved; no visible artifacts.,3,4,4,Moderate impressionistic effect; structure intact but slightly muted; minor smudging in background areas.
Rococo__canaletto_london-the-thames-and-the-city-of-london-from-the-terrace-of-richmond-house__to__Early_Renaissance,Rococo,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,"Preserves source structure well but applies minimal or incorrect style; appears mostly grayscale with faint texture, lacking Renaissance color and brushwork.",5,5,5,"Excellent match to Early Renaissance style: warm palette, detailed architecture, figures, and atmospheric perspective. Structure fully preserved with no visible artifacts.",3,3,2,"Attempts style transfer with some color wash and vignette, but structure is blurred and distorted; heavy artifacts and loss of detail reduce fidelity."
Minimalism__joan-hernandez-pijuan_nuvol-rosa-2-1990__to__Early_Renaissance,Minimalism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,Minimal style transfer; retains source’s flatness and lacks Renaissance texture or color depth. Structure preserved but no stylistic enhancement. Visible artifacts along edges and within oval.,5,5,5,"Strong Early Renaissance aesthetic: warm earth tones, subtle chiaroscuro, and aged parchment-like texture. Oval and border structure perfectly preserved. No visible artifacts or distortions.",3,4,3,"Moderate style application with slightly cooler, muted tones. Structure well preserved but lacks richness of target style. Minor smudging and edge artifacts present."
Impressionism__claude-monet_palazzo-contarini-2__to__Rococo,Impressionism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Faint Rococo-like color wash but lacks ornamental detail; heavy vignetting and edge artifacts degrade quality.,5,5,5,Excellent Rococo framing and decorative border; source structure perfectly preserved with no visible artifacts.,3,4,3,Moderate Rococo color palette applied; structure mostly intact but suffers from smudging and low contrast.
Impressionism__william-merritt-chase_gray-day-on-the-lagoon-a-passenger-boat-venice__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very faint, washed-out output; minimal style transfer evident, structure barely preserved, heavy blur/artifacts.",5,5,5,"Excellent minimalism: clean geometric shapes, flat colors, strong structural fidelity to source scene, no visible artifacts.",3,3,3,Moderate style transfer with some abstraction; structure partially preserved but overly blurred; mild artifacts in sky/water areas.
Ukiyo_e__katsushika-hokusai_woman-looking-at-herself-in-a-mirror__to__Impressionism,Ukiyo_e,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,4,Very faint impressionistic texture; structure preserved but style is nearly absent.,5,5,5,"Excellent preservation of source structure with strong, coherent impressionistic brushwork and color palette matching the target.",2,3,4,"Similar to LBM — minimal style transfer, mostly retains original image with slight noise/texture overlay."
Minimalism__robert-mangold_ellow-black-zone-painting-iv-1996__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,DualPathFresh_e01,DualPathFresh_e01,4,2,3,3,Minimal Rococo styling; mostly preserves source structure but lacks ornamental detail. Some color bleeding and soft edges.,5,4,4,"Strong Rococo aesthetic with floral motifs, gold filigree, and pastel gradients. Structure is well-preserved with minor warping at edges.",3,5,5,"Excellent structural fidelity and clean artifacts, but very weak Rococo styling — nearly identical to source with only slight color shift."
Ukiyo_e__ogata-gekko_print-from-series-women-s-customs-and-manners-1895-1__to__Rococo,Ukiyo_e,Rococo,Seedream_repaired750,Seedream_repaired750,DualPathFresh_e01,DualPathFresh_e01,4,2,3,2,Poor style transfer; retains source aesthetic with minimal Rococo influence. Heavy dark borders and smudged textures degrade quality.,5,4,3,"Strong Rococo styling with ornate frame, pastel sky, and decorative motifs. Minor softening of fine details but overall excellent style adherence.",3,5,5,"Excellent structure and artifact control; clean lines and faithful geometry. Style is muted — lacks ornate Rococo elements, appearing more neutral or lightly stylized."
Ukiyo_e__utagawa-kunisada_not_detected_240353__to__Early_Renaissance,Ukiyo_e,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Faint, washed-out style transfer; Early Renaissance elements barely visible; heavy blur and loss of detail.",5,5,5,"Excellent capture of Early Renaissance style (chiaroscuro, drapery, composition); source structure preserved cleanly; no artifacts.",2,3,2,"Similar to LBM — faint style bleed, low contrast, smeared details; minimal stylistic fidelity to target."
Minimalism__robert-ryman_conversion-2003__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,1,1,1,Completely blank output; no style or structure transferred.,5,5,5,"Excellent Rococo frame with ornate details, clean edges, and faithful structural layout matching the target style.",2,2,2,"Very faint, blurry Rococo-like shapes; poor detail and high artifact presence due to low contrast and noise."
Impressionism__john-singer-sargent_lake-in-the-tyrol__to__Ukiyo_e,Impressionism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,3,"Very washed-out, lacks Ukiyo-e color and line quality; structure preserved but style is weak.",5,5,5,"Excellent Ukiyo-e aesthetic with strong color harmony, clear structure, and no visible artifacts.",3,4,4,Moderate style transfer with some haze; structure mostly intact but less vibrant than Seedream.
Rococo__william-hogarth_the-countess-s-morning-levee__to__Ukiyo_e,Rococo,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,"Very washed-out, low contrast; Ukiyo-e woodblock traits (bold outlines, flat color) are nearly absent. Structure is preserved but overly blurred.",5,5,5,"Strong Ukiyo-e aesthetic: bold outlines, stylized flat color regions, and decorative framing. Excellent structure retention and minimal artifacts.",3,4,3,"Moderate Ukiyo-e influence with some stylization, but colors remain too naturalistic and outlines are weak. Minor smudging artifacts present."
Impressionism__mihaly-munkacsy_dusty-country-road-ii-1883__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,3,"Overly blurred and washed-out; minimalism not clearly expressed, structure preserved but lacks stylistic intent.",5,5,5,"Excellent minimalism with clean geometry, flat colors, and strong compositional clarity; source structure well preserved.",3,4,4,"Soft, painterly abstraction with some minimal qualities but lacks crispness; structure mostly intact, minor artifacts in texture."
Impressionism__pierre-auguste-renoir_still-life-with-apples-and-pomegranates-1901__to__Ukiyo_e,Impressionism,Ukiyo_e,DualPathFresh_e01,DualPathFresh_e01,Seedream_repaired750,Seedream_repaired750,4,3,3,3,Moderate Ukiyo-e influence with soft washes but lacks distinct line work or compositional structure; some blurring and loss of detail.,2,5,5,"Excellent structural fidelity and clean output, but minimal Ukiyo-e stylistic adoption — appears more like a color-shifted version of source.",5,4,4,"Strongest Ukiyo-e aesthetic with painterly texture, muted palette, and stylized forms; minor softening of edges but overall high fidelity to style."
Ukiyo_e__tsukioka-yoshitoshi_not_detected_242419__to__Rococo,Ukiyo_e,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,Weak Rococo styling; heavy vignetting and color distortion; structure partially preserved but visually degraded.,5,5,5,Excellent Rococo aesthetic with ornate framing and soft tones; source structure fully preserved; minimal artifacts.,3,4,3,Moderate Rococo influence; structure well maintained; slight color bleeding and softness reduce clarity.
Impressionism__claude-monet_rouen-cathedral-the-portal-at-midday__to__Ukiyo_e,Impressionism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very faint Ukiyo-e influence; structure is blurred and indistinct; heavy noise and smearing artifacts degrade quality.,5,5,5,"Excellent Ukiyo-e style transfer with clear line work, flat color blocks, and traditional composition; source structure (Notre-Dame) is well-preserved; minimal artifacts.",2,3,2,Minimal style transfer; appears as a washed-out version of source; structure is partially visible but obscured by noise and low contrast; no clear Ukiyo-e characteristics.
Rococo__joshua-reynolds_colonel-george-k-h-coussmaker-grenadier-guards__to__Early_Renaissance,Rococo,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very low style specificity; appears washed out and lacks Renaissance characteristics. Structure is somewhat preserved but blurred. Heavy artifacts and noise degrade quality.,5,5,5,"Excellent style transfer with clear Early Renaissance aesthetic (gold leaf, flat perspective, religious iconography). Structure is well-preserved with minimal distortion. No visible artifacts; clean and coherent output.",3,4,3,Moderate style specificity — some Renaissance elements present but diluted. Structure is reasonably preserved. Some softness and minor artifacts reduce overall fidelity compared to Seedream.
Early_Renaissance__sandro-botticelli_trinity(1)__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Very faint Ukiyo-e influence; mostly retains original painting style with minimal stylization. Structure is well preserved but lacks artistic transformation.,5,5,5,"Excellent Ukiyo_e style transfer with clear woodblock aesthetic, clean lines, and flat color regions. Structure is perfectly preserved with no artifacts.",3,4,4,"Moderate Ukiyo_e influence with some stylization but less coherent than Seedream. Minor smudging and color bleeding present, especially in background areas."
Impressionism__william-merritt-chase_at-the-boat-landing__to__Ukiyo_e,Impressionism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,4,3,"Very faint, washed-out style; lacks Ukiyo-e characteristics. Structure preserved but color and texture too muted.",5,5,5,"Strong Ukiyo-e aesthetic with warm tones, bold outlines, and stylized clouds. Excellent structure retention and minimal artifacts.",3,4,4,Moderate Ukiyo-e influence with soft washes and some line work. Slightly less cohesive than D but better than C.
Impressionism__william-merritt-chase_at-the-boat-landing__to__Early_Renaissance,Impressionism,Early_Renaissance,DualPathFresh_e01,DualPathFresh_e01,DualPathFresh_e01,DualPathFresh_e01,4,2,3,2,Heavy sepia aging and vignetting dominate; style is more 'antique photo' than Early Renaissance. Structure preserved but obscured by artifacts.,3,4,3,Moderate stylistic shift with soft brushwork and muted tones. Some color bleeding and loss of fine detail in grass/water. Structure mostly intact.,5,5,5,"Best match to Early Renaissance palette and texture — soft glazing, luminous sky, naturalistic foliage. Clean edges, no major artifacts, faithful structure."
Minimalism__bruce-nauman_la-brea-art-tips-rat-spit-tar-pits-1972__to__Impressionism,Minimalism,Impressionism,Seedream_repaired750,Seedream_repaired750,LBM-Knee_e13,LBM-Knee_e13,4,2,5,5,"Excellent structure and artifact control, but minimal impressionist style transfer; output is nearly identical to source.",5,3,3,Strong impressionist style with visible brushwork and color blending; some structural distortion and minor artifacts in background.,3,4,4,Moderate style transfer with soft blur and color wash; better structure than Seedream but less vivid style; slight haze artifact.
Impressionism__childe-hassam_september-moonrise__to__Ukiyo_e,Impressionism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,3,"Very washed-out, low contrast; style is vague and lacks Ukiyo-e characteristics. Structure preserved but overly blurred.",5,5,5,"Excellent Ukiyo-e aesthetic with strong color gradients, clean lines, and faithful structure. Minimal artifacts.",3,4,2,"Moderate style transfer with some Ukiyo-e flavor, but suffers from heavy noise and smudging artifacts, especially in sky and foreground."
Early_Renaissance__sandro-botticelli_trinity(1)__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Fails to apply minimalism; output is a faded, washed-out version of the source with no stylistic reduction or simplification.",5,5,5,Perfectly applies minimalism by reducing the scene to bold geometric shapes and flat colors while preserving the core composition and figures.,2,3,2,"Produces a blurry, painterly effect that does not reflect the target minimalism style and introduces significant visual artifacts."
Early_Renaissance__andrea-mantegna_the-circumcision-of-christ-1464__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very faded, washed-out appearance; lacks Rococo richness and detail. Structure is somewhat preserved but heavily degraded by low contrast and blur.",5,5,5,"Excellent Rococo style transfer with rich pastel tones, ornate details, and soft lighting. Source structure (figures, architecture) is well-preserved with minimal artifacts.",3,4,3,"Moderate Rococo feel with some color and texture, but less refined than Seedream. Structure is mostly intact but suffers from slight smudging and inconsistent lighting."
Minimalism__mira-schendel_untitled-1984__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,LBM-Knee_e13,LBM-Knee_e13,4,2,5,5,"Perfectly preserves the source structure (orange field + yellow triangle) with no artifacts, but applies almost no Rococo style—appears as a blurred orange patch with minimal texture.",5,3,3,"Strongly captures Rococo aesthetics (ornate floral patterns, gilded frame motifs, soft pastel tones), but distorts the original structure by replacing the solid orange field with textured pattern and misaligning the triangle’s position.",3,2,2,"Shows some Rococo color palette and softness, but suffers from heavy blurring, loss of structural clarity, and visible artifacts like smudged edges and indistinct shapes."
