case_id,src_style,tgt_style,best_overall,best_style_specificity,best_structure,best_artifact_control,confidence_1_to_5,LBM-PS-v2_e13_style_specificity,LBM-PS-v2_e13_structure_preservation,LBM-PS-v2_e13_artifact_control,LBM-PS-v2_e13_note,Seedream_repaired750_style_specificity,Seedream_repaired750_structure_preservation,Seedream_repaired750_artifact_control,Seedream_repaired750_note,SaMAM_2250_style_specificity,SaMAM_2250_structure_preservation,SaMAM_2250_artifact_control,SaMAM_2250_note
Early_Renaissance__pietro-perugino_giovanni-colombini__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,1,1,Overly abstracted; loses all structural and stylistic coherence.,5,5,5,Clean minimalism with preserved composition and no artifacts.,3,4,3,Retains structure but introduces slight stylistic noise and blur.
Early_Renaissance__pietro-perugino_giovanni-colombini__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,1,1,Extremely blurry and abstract; loses all structural detail and Rococo elegance.,5,5,5,"Perfectly captures Rococo’s ornate framing, soft chiaroscuro, and compositional fidelity to source.",3,4,4,Retains structure well but applies a more generic painterly style; lacks Rococo’s decorative flourishes.
Early_Renaissance__pietro-perugino_giovanni-colombini__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,1,1,1,Completely lost structure and style; appears as abstract clouds with no discernible subject or Ukiyo-e characteristics.,5,5,5,"Excellent Ukiyo-e style transfer with clear linework, flat color planes, and stylized features. Structure of the figure and background is well-preserved. Minimal artifacts.",3,4,3,Retains structure reasonably well but style is inconsistent — some areas resemble Ukiyo-e while others look painterly or distorted. Minor artifacts in texture and edge blending.
Early_Renaissance__pisanello_stork-1430__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,SaMAM_2250,SaMAM_2250,SaMAM_2250,SaMAM_2250,5,2,3,2,Very blurry and washed out; loses bird structure and shows no clear Early Renaissance style.,3,4,3,Retains bird shape well but style is muted and lacks distinct Early Renaissance features.,5,5,5,Excellent preservation of bird anatomy and strong Early Renaissance aesthetic with aged parchment texture and muted palette.
Early_Renaissance__pisanello_stork-1430__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,Very blurry and washed out; impressionistic texture is present but lacks definition and coherence.,5,5,5,Excellent impressionistic brushwork with clear color blocking and texture while perfectly preserving the bird’s anatomy and pose.,3,4,4,Moderate style transfer with some texture but retains too much of the original image’s flatness and lacks dynamic brushstrokes.
Early_Renaissance__pisanello_stork-1430__to__Minimalism,Early_Renaissance,Minimalism,SaMAM_2250,SaMAM_2250,SaMAM_2250,SaMAM_2250,4,2,3,4,"Overly blurred and washed out; minimalism not clearly expressed, structure partially preserved but lacks definition.",4,3,3,"Strong minimalist vector style with clean shapes, but bird anatomy is distorted and legs are stylized unnaturally.",5,5,5,"Excellent minimalism: simplified forms, muted palette, preserved anatomy and posture, no visible artifacts or distortions."
Early_Renaissance__pisanello_stork-1430__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,SaMAM_2250,SaMAM_2250,4,2,3,2,Very blurry and indistinct; minimal Rococo detail or ornamentation; structure is preserved but heavily degraded by noise.,5,4,4,"Strong Rococo elements: ornate floral motifs, soft pastel tones, decorative borders; bird structure well preserved with minor softening; clean output.",3,5,5,Excellent structural fidelity and no artifacts; style is muted — only faint Rococo hints in background texture; lacks bold decorative elements.
Early_Renaissance__pisanello_stork-1430__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,SaMAM_2250,SaMAM_2250,Seedream_repaired750,SaMAM_2250,4,2,3,2,Very blurry and washed out; lacks Ukiyo-e line work and color blocking. Structure is recognizable but heavily degraded by blur artifacts.,3,5,4,Excellent structural fidelity and clean edges. Style is present but somewhat muted; lacks the bold ink lines and flat color planes typical of Ukiyo-e.,5,4,5,"Strongest Ukiyo-e style with visible ink outlines, textured paper background, and stylized coloring. Minor softness in feather details but overall high fidelity and minimal artifacts."
Early_Renaissance__sandro-botticelli_trinity(1)__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,1,1,Overly blurred and abstract; loses all structural detail and fails to convey Impressionist brushwork or color harmony.,5,5,5,"Excellent Impressionist rendering with visible brushstrokes, vibrant palette, and full preservation of original composition and figures.",4,4,4,"Strong stylistic match with good structure, but slightly darker tones and less dynamic brushwork than D; minor artifacts in background."
Early_Renaissance__sandro-botticelli_trinity(1)__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,1,1,Overly blurred and abstract; loses all structural and stylistic fidelity to source or target.,5,5,5,Clean geometric abstraction with clear figure-ground separation; preserves composition while applying minimalism effectively.,3,4,3,Retains structure but applies minimalism weakly; some artifacts and inconsistent simplification.
Early_Renaissance__sandro-botticelli_trinity(1)__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,2,1,Highly blurred and abstract; loses both Rococo elegance and source structure.,5,5,5,"Perfectly captures Rococo’s ornate framing, soft pastel tones, and decorative flourishes while preserving the crucifixion composition exactly.",3,4,4,Retains structure well but applies a more classical/Baroque palette with less Rococo ornamentation; minor color shifts reduce stylistic fidelity.
Early_Renaissance__sandro-botticelli_trinity(1)__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,1,1,Extremely blurry and abstract; loses all structural detail and Ukiyo-e characteristics.,5,5,5,"Excellent Ukiyo-e style with clear linework, flat color, and compositional fidelity to source.",3,4,3,Retains structure but applies heavy darkening and texture; Ukiyo-e traits are present but muted.
Impressionism__alfred-sisley_riverbank-at-veneux-1881__to__Early_Renaissance,Impressionism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,1,2,1,Extremely blurry and abstract; no discernible Renaissance style or structure.,5,5,5,"Excellent Early Renaissance style with clear figures, arches, and palette; structure fully preserved; minimal artifacts.",3,4,3,Some stylistic hints but overly textured and noisy; structure mostly intact but with visible artifacts.
Impressionism__alfred-sisley_riverbank-at-veneux-1881__to__Impressionism,Impressionism,Impressionism,SaMAM_2250,SaMAM_2250,SaMAM_2250,SaMAM_2250,5,2,1,1,Extremely blurry and abstract; loses all structural detail and barely conveys Impressionist brushwork.,4,3,3,"Good Impressionist texture and color, but some areas show slight smudging and loss of fine tree structure.",5,5,5,"Excellent Impressionist style with visible brushstrokes, preserves tree and water structure clearly, minimal artifacts."
Impressionism__alfred-sisley_riverbank-at-veneux-1881__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,1,3,Overly abstracted; loses all structural and stylistic cues of minimalism.,5,5,5,"Strong minimalism: clean geometry, flat color blocks, preserved composition, no artifacts.",3,4,4,Retains structure but applies muted realism rather than true minimalism; slight texture artifacts.
Impressionism__alfred-sisley_riverbank-at-veneux-1881__to__Rococo,Impressionism,Rococo,Seedream_repaired750,Seedream_repaired750,LBM-PS-v2_e13,SaMAM_2250,4,2,5,3,Highly preserves source structure but lacks Rococo stylistic elements; appears as a blurred or degraded version of the source.,5,4,4,Strong Rococo aesthetic with ornate framing and soft pastel tones; maintains recognizable landscape structure with minor stylistic distortion.,3,4,5,Cleanest output with minimal artifacts and good structural fidelity; moderate Rococo influence via color palette and brushwork hints.
Impressionism__alfred-sisley_riverbank-at-veneux-1881__to__Ukiyo_e,Impressionism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,1,1,1,"Completely lost structure and style; appears as a blurred, abstract texture with no discernible Ukiyo-e characteristics or source content.",5,5,5,"Excellent Ukiyo-e style transfer with clear woodblock print aesthetics (flat colors, bold outlines, stylized clouds/water). Structure of source image (trees, lake, path) is well-preserved. Minimal artifacts; clean and coherent output.",3,4,4,"Moderate Ukiyo-e influence (some color flattening and line emphasis), but less stylized than D. Structure is mostly preserved with minor distortions in tree branches. Some slight smudging/artifacts near edges and waterline."
Impressionism__alfred-sisley_the-banks-of-the-oise-1878__to__Early_Renaissance,Impressionism,Early_Renaissance,SaMAM_2250,SaMAM_2250,Seedream_repaired750,SaMAM_2250,4,2,1,1,Extremely blurry and abstract; loses all structural detail and shows minimal stylistic coherence with Early Renaissance.,3,5,4,"Preserves source structure well; moderate Early Renaissance styling with soft textures and muted tones, but lacks strong period-specific features.",5,4,5,"Strong Early Renaissance style with visible brushwork, earthy palette, and compositional harmony; minor structural softening but excellent artifact control."
Impressionism__alfred-sisley_the-banks-of-the-oise-1878__to__Impressionism,Impressionism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,1,1,Extremely blurry and abstract; loses all structural detail and fails to convey Impressionist brushwork or color harmony.,5,5,5,"Excellent Impressionist rendering with visible brushstrokes, vibrant colors, and full preservation of source composition and details.",4,4,4,"Strong Impressionist style with good structure, but slightly less refined brushwork and minor color saturation artifacts compared to D."
Impressionism__alfred-sisley_the-banks-of-the-oise-1878__to__Minimalism,Impressionism,Minimalism,SaMAM_2250,SaMAM_2250,Seedream_repaired750,SaMAM_2250,4,2,1,1,"Overly blurred, loses all structural and stylistic detail; fails to convey minimalism or source content.",3,5,4,Strong structure retention with clean vector-like minimalism; slightly stylized but coherent and artifact-free.,5,4,5,Best balance: preserves source composition while applying subtle minimalism via muted tones and soft edges; no artifacts.
Impressionism__alfred-sisley_the-banks-of-the-oise-1878__to__Rococo,Impressionism,Rococo,SaMAM_2250,SaMAM_2250,SaMAM_2250,SaMAM_2250,4,2,1,1,Extremely blurry and abstract; no discernible structure or Rococo traits.,3,4,3,"Preserves landscape structure well but applies a soft, dreamy filter rather than true Rococo ornamentation.",4,5,4,Best balance: retains source structure clearly while applying subtle Rococo-like softness and color warmth without major artifacts.
Impressionism__alfred-sisley_the-banks-of-the-oise-1878__to__Ukiyo_e,Impressionism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,1,1,1,Completely lost both style and structure; appears as a blurred abstract texture with no discernible content or Ukiyo-e characteristics.,5,5,5,"Excellent Ukiyo-e style transfer with clear woodblock print aesthetics, strong preservation of original composition and details, and minimal artifacts.",3,4,3,Shows some Ukiyo-e influence but with heavy texture and color distortion; structure is mostly preserved but with noticeable artifacts and over-processing.
Impressionism__antoine-blanchard_place-de-la-madeleine-hiver__to__Early_Renaissance,Impressionism,Early_Renaissance,SaMAM_2250,SaMAM_2250,SaMAM_2250,SaMAM_2250,4,1,1,1,Completely lost source structure and style; appears as abstract noise or degraded texture with no recognizable content or Renaissance characteristics.,3,3,3,"Retains some structural elements of the source scene but applies a muted, painterly filter that vaguely suggests aged art; lacks clear Early Renaissance stylistic markers and shows mild blurring artifacts.",5,5,5,"Successfully merges source composition with Early Renaissance aesthetics — visible brushwork, chiaroscuro-like lighting, and period-appropriate color palette — while preserving architectural and figure details cleanly with minimal artifacts."
Impressionism__antoine-blanchard_place-de-la-madeleine-hiver__to__Impressionism,Impressionism,Impressionism,SaMAM_2250,SaMAM_2250,SaMAM_2250,SaMAM_2250,4,2,1,1,"Overly blurred, loses all structural detail and style fidelity; appears as noise rather than impressionistic rendering.",4,3,3,Strong impressionistic brushwork and color palette; some structural softening but retains key scene elements with minor artifacts.,5,4,4,Excellent Impressionist style with visible brushstrokes and atmospheric color; preserves building and figure outlines well; minimal artifacts.
Impressionism__antoine-blanchard_place-de-la-madeleine-hiver__to__Minimalism,Impressionism,Minimalism,SaMAM_2250,SaMAM_2250,LBM-PS-v2_e13,SaMAM_2250,4,2,5,3,Overly blurred; loses all stylistic intent and detail.,3,4,3,Retains structure but adds unwanted color and noise.,5,4,5,"Clean, minimal, and faithful to target style with no artifacts."
Impressionism__antoine-blanchard_place-de-la-madeleine-hiver__to__Rococo,Impressionism,Rococo,SaMAM_2250,SaMAM_2250,LBM-PS-v2_e13,SaMAM_2250,4,2,5,3,Highly preserves source structure but lacks Rococo stylistic elements; appears as a blurred or abstracted version.,4,3,3,"Strong Rococo aesthetic with ornate framing and soft colors, but distorts original scene structure and introduces decorative artifacts.",5,4,5,"Best balance: clearly applies Rococo’s soft palette, romantic mood, and painterly texture while preserving scene layout and minimizing artifacts."
Impressionism__antoine-blanchard_place-de-la-madeleine-hiver__to__Ukiyo_e,Impressionism,Ukiyo_e,SaMAM_2250,SaMAM_2250,SaMAM_2250,SaMAM_2250,4,1,1,1,Completely blurred; no discernible style or structure.,3,3,3,Muted Ukiyo-e tones applied but lacks crisp lines and detail; moderate structure retention.,5,5,5,"Strong Ukiyo_e aesthetic with clear linework, stylized figures, and preserved scene structure; minimal artifacts."
Impressionism__armand-guillaumin_valley-in-pontgibaud-1890__to__Early_Renaissance,Impressionism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,"Overly blurred and abstract; loses Renaissance texture and detail, introduces heavy smudging artifacts.",5,5,5,Excellent match to Early Renaissance palette and brushwork; preserves landscape structure cleanly with minimal artifacts.,4,4,4,Strong stylistic emulation but slightly over-saturated and textured; minor structural distortion in foreground path.
Impressionism__armand-guillaumin_valley-in-pontgibaud-1890__to__Impressionism,Impressionism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,1,1,Extremely abstracted; loses nearly all structural and stylistic coherence.,5,5,5,"Strong Impressionist brushwork, clear structure, minimal artifacts.",4,4,4,"Good style and structure, slightly less refined than D in texture and edge control."
Impressionism__armand-guillaumin_valley-in-pontgibaud-1890__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,1,1,"Overly blurred, loses all structural and stylistic coherence; appears as noise rather than minimalism.",5,5,5,"Clean geometric shapes, flat color blocks, and simplified forms perfectly embody minimalism while preserving source structure.",3,4,3,Retains structure but applies painterly texture that conflicts with minimalism; artifacts from brushstroke simulation reduce clarity.
Impressionism__armand-guillaumin_valley-in-pontgibaud-1890__to__Rococo,Impressionism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,1,1,Extremely blurry and abstract; loses all structural detail and Rococo elegance.,5,5,5,"Perfectly captures Rococo’s soft brushwork, pastel tones, and ornamental framing while preserving source composition.",3,4,4,Retains structure but applies a more impressionistic or post-impressionist style rather than true Rococo.
Impressionism__armand-guillaumin_valley-in-pontgibaud-1890__to__Ukiyo_e,Impressionism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,1,1,Overly blurred and abstract; loses both style and structure.,5,5,5,"Strong Ukiyo-e aesthetic with clear linework, flat color, and preserved composition.",4,4,4,Good style transfer but slightly less crisp lines and more painterly texture than D.
Impressionism__augustus-john_proven-al-landscape__to__Early_Renaissance,Impressionism,Early_Renaissance,SaMAM_2250,SaMAM_2250,SaMAM_2250,SaMAM_2250,4,2,2,1,Overly blurred and abstract; loses both style and structure.,3,3,3,Moderate style transfer with acceptable structure and minimal artifacts.,5,5,4,"Strong Early Renaissance style, excellent structure retention, minor smudging in sky."
Impressionism__augustus-john_proven-al-landscape__to__Impressionism,Impressionism,Impressionism,SaMAM_2250,SaMAM_2250,Seedream_repaired750,SaMAM_2250,4,1,1,1,Completely lost structure and style; appears as abstract blur with no recognizable content or impressionistic traits.,4,5,3,Strong impressionistic brushwork and color palette; preserves source structure well but shows slight over-smoothing and minor color bleeding in foliage.,5,4,5,Excellent impressionist rendering with visible brush strokes and atmospheric color; maintains tree and landscape structure cleanly with minimal artifacts.
Impressionism__augustus-john_proven-al-landscape__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,1,1,Overly blurred and abstract; loses all structural detail and minimalism intent.,5,5,5,"Clean geometric abstraction with clear structure, strong minimalism, and no artifacts.",3,4,4,"Retains source structure but applies muted, painterly style — less minimalist than D."
Impressionism__augustus-john_proven-al-landscape__to__Ukiyo_e,Impressionism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,1,1,1,"Completely lost structure and style; appears as a blurred, indistinct wash with no discernible features or Ukiyo-e characteristics.",5,5,5,"Excellent Ukiyo-e style transfer with clear linework, flat color planes, and stylized trees/sky. Structure is well-preserved from source, and artifacts are minimal.",3,4,3,"Shows some Ukiyo-e influence in coloring and sky treatment, but lacks strong linework and stylization. Structure is mostly preserved, but has noticeable smudging and color bleeding artifacts."
Impressionism__camille-pissarro_the-gardener-afternoon-sun-eragny-1899__to__Early_Renaissance,Impressionism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,Overly blurred and abstract; loses figure detail and landscape structure; no clear Renaissance style.,5,5,5,"Strong Early Renaissance painterly texture, soft chiaroscuro, and compositional fidelity to source; minimal artifacts.",4,4,4,Good stylistic emulation with visible brushwork and tonal harmony; slight over-saturation and minor edge halos.
Impressionism__camille-pissarro_the-gardener-afternoon-sun-eragny-1899__to__Impressionism,Impressionism,Impressionism,Seedream_repaired750,Seedream_repaired750,LBM-PS-v2_e13,Seedream_repaired750,4,2,5,3,Preserves structure well but lacks Impressionist brushwork and color; appears overly smoothed or abstracted.,5,4,5,Strong Impressionist style with visible brushstrokes and palette; retains subject structure cleanly with minimal artifacts.,4,3,4,"Good stylistic emulation but slightly darker, less vibrant tones; minor structural distortion in background elements."
Impressionism__camille-pissarro_the-gardener-afternoon-sun-eragny-1899__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,LBM-PS-v2_e13,LBM-PS-v2_e13,4,2,5,5,High structure and artifact control but very low style specificity — appears as a blurred or abstracted version of source with no clear minimalism.,5,3,3,"Strong minimalism in color palette, simplified forms, and flat planes; structure is recognizable but stylized; minor artifacts in texture blending.",3,4,4,Moderate minimalism with muted tones and reduced detail; preserves structure well but lacks strong stylistic reduction; some noise/artifacts present.
Impressionism__camille-pissarro_the-gardener-afternoon-sun-eragny-1899__to__Rococo,Impressionism,Rococo,Seedream_repaired750,Seedream_repaired750,LBM-PS-v2_e13,Seedream_repaired750,4,2,5,3,Highly blurred; structure preserved but Rococo style nearly absent.,5,4,5,Strong Rococo aesthetic with soft brushwork and ornamental framing; minimal artifacts.,3,4,4,Moderate Rococo influence; slightly muddy tones and minor structural distortion.
Impressionism__camille-pissarro_the-gardener-afternoon-sun-eragny-1899__to__Ukiyo_e,Impressionism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,1,1,1,Panel C is nearly indistinguishable from the source; it fails to apply any Ukiyo-e style and exhibits severe blurring artifacts.,5,5,5,Panel D successfully applies the Ukiyo-e style with distinct ink-like lines and flat coloring while perfectly preserving the original composition and maintaining high image quality.,3,4,4,"Panel E retains the structure well but applies a generic painterly style rather than the specific Ukiyo-e aesthetic, lacking the characteristic line work."
Impressionism__childe-hassam_evening-champs-elysees-aka-pres-du-louvre__to__Impressionism,Impressionism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly blurred; loses both style detail and structure.,5,5,5,Strong Impressionist brushwork with clear structure and minimal artifacts.,4,4,4,"Good style and structure, slightly less refined than D."
Impressionism__childe-hassam_evening-champs-elysees-aka-pres-du-louvre__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,1,1,"Overly blurred, loses all structural and stylistic fidelity; appears as noise rather than minimalism.",5,5,5,Clean geometric abstraction with flat color blocks and simplified forms; preserves scene structure while enforcing minimalism effectively.,3,4,3,Retains source structure but applies minimalism inconsistently; some areas retain texture or detail that dilutes stylistic purity.
Impressionism__childe-hassam_evening-champs-elysees-aka-pres-du-louvre__to__Rococo,Impressionism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,Overly blurred and abstract; loses Rococo elegance and structural clarity.,5,5,5,"Strong Rococo framing, ornate arch, soft pastel tones, and faithful figure/scene preservation with minimal artifacts.",4,4,4,Good Rococo influence but slightly less refined than D; minor color saturation and edge softness issues.
Impressionism__childe-hassam_evening-champs-elysees-aka-pres-du-louvre__to__Ukiyo_e,Impressionism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,"Very blurry and washed out; Ukiyo-e style nearly absent, heavy artifacts, structure barely preserved.",5,5,5,Strong Ukiyo-e aesthetic with bold lines and flat color blocks; source structure well preserved; minimal artifacts.,4,4,4,Good Ukiyo-e influence with stylized figures and background; structure mostly intact; slight softness but few artifacts.
Impressionism__childe-hassam_september-moonrise__to__Early_Renaissance,Impressionism,Early_Renaissance,SaMAM_2250,SaMAM_2250,Seedream_repaired750,Seedream_repaired750,4,2,2,1,Overly blurred and abstract; loses both style and structure.,3,5,5,"Clean, faithful to source structure; mild Renaissance tint but lacks detail.",5,4,3,Strong Early Renaissance palette and texture; slight noise but stylistically rich.
Impressionism__childe-hassam_september-moonrise__to__Impressionism,Impressionism,Impressionism,SaMAM_2250,SaMAM_2250,LBM-PS-v2_e13,SaMAM_2250,4,2,5,3,Highly preserves structure but lacks Impressionist brushwork and color; appears blurred or abstracted rather than stylistically rendered.,3,4,4,Moderate Impressionist feel with soft edges and muted tones; structure mostly intact but slightly washed out; minor artifacts in sky texture.,5,4,5,"Strongest Impressionist style with visible brushstrokes, vibrant yet blended colors, and clean rendering; structure well-preserved with minimal artifacts."
Impressionism__childe-hassam_september-moonrise__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,1,2,"Overly blurred, loses all structural and stylistic coherence; appears as noise rather than minimalism.",5,5,5,Clean geometric abstraction with flat color blocks and simplified forms — ideal minimalism; preserves landscape structure while stylizing it.,3,3,3,"Retains source structure but applies a muted, painterly filter — not distinctly minimalist; some texture artifacts remain."
Impressionism__childe-hassam_september-moonrise__to__Rococo,Impressionism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,1,1,Overly blurred and abstract; loses both Rococo elegance and source structure.,5,5,5,Perfectly captures Rococo ornamental framing while preserving landscape structure with clean rendering.,3,4,3,Retains structure well but lacks strong Rococo stylistic markers; slight color wash artifacts.
Impressionism__childe-hassam_september-moonrise__to__Ukiyo_e,Impressionism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,1,1,Overly blurred and abstract; loses both style and structure.,5,5,5,"Strong Ukiyo-e aesthetic with clean lines, flat color planes, and preserved landscape structure.",4,4,3,Good style transfer but slightly noisy texture and minor structural distortion in foreground.
Impressionism__claude-monet_bordighera-the-house-of-gardener__to__Early_Renaissance,Impressionism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,1,1,Overly abstracted; loses all structural and stylistic coherence.,5,5,5,Excellent Early Renaissance style transfer with clean structure and no artifacts.,3,4,3,Moderate style fidelity; some texture noise and slight structural distortion.
Impressionism__claude-monet_bordighera-the-house-of-gardener__to__Impressionism,Impressionism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,1,1,1,Completely lost structure and style; appears as abstract noise with no recognizable content or impressionistic traits.,5,5,5,Strongly captures Impressionist brushwork and color palette while preserving source composition and details with minimal artifacts.,4,4,4,"Good impressionistic style and structure retention, but slightly less refined in brushstroke texture and minor color blending inconsistencies."
Impressionism__claude-monet_bordighera-the-house-of-gardener__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,1,3,"Overly blurred, loses all structural and stylistic intent; minimalism not meaningfully applied.",5,5,5,Clean geometric abstraction with clear color blocking and simplified forms; preserves source layout while enforcing minimalism effectively.,3,4,4,Retains source texture and composition but lacks strong minimalist reduction; appears more like filtered impressionism than true minimalism.
Impressionism__claude-monet_bordighera-the-house-of-gardener__to__Rococo,Impressionism,Rococo,SaMAM_2250,SaMAM_2250,SaMAM_2250,SaMAM_2250,4,1,1,1,Completely lost source structure and Rococo style; appears as abstract noise.,3,4,3,Retains structure well but applies a decorative border that distorts the original composition; Rococo elements are present but awkwardly integrated.,5,5,5,"Perfectly preserves source structure while applying a faithful, high-quality Rococo style transfer with no visible artifacts."
Impressionism__claude-monet_bordighera-the-house-of-gardener__to__Ukiyo_e,Impressionism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,1,1,1,Completely lost structure and style; appears as a blurred texture with no recognizable content or Ukiyo-e traits.,5,5,5,"Excellent Ukiyo-e style transfer with clear line work, flat color areas, and compositional fidelity to source; minimal artifacts.",4,4,4,Strong Ukiyo-e influence with bold outlines and stylized foliage; slight over-saturation and minor edge halos reduce perfection.
Impressionism__claude-monet_palazzo-contarini-2__to__Early_Renaissance,Impressionism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,Overly blurred and washed out; loses architectural detail and Early Renaissance texture.,5,5,5,"Clean, crisp rendering with appropriate tonal warmth and linear clarity; closely matches target style while preserving source structure.",4,4,3,Strong color contrast and stylization but introduces slight halation and edge artifacts; structure mostly preserved.
Impressionism__claude-monet_palazzo-contarini-2__to__Impressionism,Impressionism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,1,1,"Overly blurred, loses architectural detail and brushwork; fails to convey Impressionist texture or form.",5,5,5,Strong Impressionist brushwork with visible dabs of color; preserves building geometry and water reflections cleanly; no smearing or distortion.,4,4,4,Good Impressionist feel with textured strokes; slight over-saturation and minor edge halos reduce artifact control compared to D.
Impressionism__claude-monet_palazzo-contarini-2__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,LBM-PS-v2_e13,4,2,3,5,"Extremely blurred, loses architectural detail; minimalism not clearly expressed but artifacts are absent.",5,5,3,Strong minimalism via flat color blocks and simplified geometry; structure preserved well; minor pixelation artifacts.,3,4,4,Retains original texture and color; minimalism is subtle; slight noise and color bleeding present.
Impressionism__claude-monet_palazzo-contarini-2__to__Rococo,Impressionism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,Very blurry and indistinct; loses architectural detail and Rococo elegance; heavy noise/artifacts.,5,5,5,"Strong Rococo aesthetic with ornate framing, soft pastel tones, and preserved building structure; clean output.",4,4,4,Good color harmony and structure retention; slightly less refined Rococo flourish than D; minor texture artifacts.
Impressionism__claude-monet_palazzo-contarini-2__to__Ukiyo_e,Impressionism,Ukiyo_e,SaMAM_2250,SaMAM_2250,Seedream_repaired750,Seedream_repaired750,4,1,2,1,Extremely blurry; no discernible Ukiyo-e style or structure.,3,5,5,"Clean structure and minimal artifacts, but style is muted and lacks strong Ukiyo-e traits.",5,4,4,Strong Ukiyo-e aesthetic with visible brushwork and color blocking; slight texture noise but well-preserved structure.
