case_id,src_style,tgt_style,best_overall,best_style_specificity,best_structure,best_artifact_control,confidence_1_to_5,LBM-Knee_e13_style_specificity,LBM-Knee_e13_structure_preservation,LBM-Knee_e13_artifact_control,LBM-Knee_e13_note,Seedream_repaired750_style_specificity,Seedream_repaired750_structure_preservation,Seedream_repaired750_artifact_control,Seedream_repaired750_note,QEdgePattn_e01_style_specificity,QEdgePattn_e01_structure_preservation,QEdgePattn_e01_artifact_control,QEdgePattn_e01_note
Ukiyo_e__kitagawa-utamaro_upon-my-oath__to__Ukiyo_e,Ukiyo_e,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,3,Very faint style transfer; lacks color and texture of Ukiyo-e. Structure is preserved but overly washed out. Minimal artifacts but poor stylistic fidelity.,5,5,5,"Excellent Ukiyo-e style with bold lines, flat color blocks, and traditional composition. Structure perfectly preserved. No visible artifacts.",3,4,4,"Moderate style transfer with some line work and muted tones. Structure well preserved. Slight smudging or softness in areas, but no major artifacts."
Early_Renaissance__jacopo-bellini_view-of-a-fortification-of-jerusalem(1)__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Preserves structure well but lacks Renaissance color and texture; appears as a faded sketch with minimal stylistic adaptation.,5,5,5,"Excellent match to Early Renaissance style: rich colors, architectural detail, and painterly texture. Structure is faithfully rendered with no visible artifacts.",2,4,3,Similar to LBM — retains line art structure but fails to apply Renaissance color or materiality; looks like an aged drawing rather than a painted scene.
Early_Renaissance__domenico-ghirlandaio_st-jerome__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Very faint Rococo influence; structure preserved but style is nearly absent. Low contrast and washed-out appearance reduce stylistic fidelity.,5,5,5,"Excellent Rococo style transfer with ornate columns, pastel tones, and decorative motifs. Source structure perfectly preserved with no visible artifacts.",2,4,3,Minimal style transfer; resembles original fresco with slight color shift. Structure intact but lacks Rococo characteristics. Some edge artifacts present.
Early_Renaissance__filippo-lippi_confirmation-of-the-carmelite-rule__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Faint, washed-out rendering; lacks Early Renaissance color saturation and figure definition. Structure is partially preserved but overly blurred. Heavy artifacting and loss of detail.",5,5,5,"Excellent match to Early Renaissance style: rich colors, clear halos, architectural elements, and figure composition. Structure fully preserved with no visible artifacts. Clean, coherent output.",2,3,2,"Similar to LBM — faint, desaturated, and ghostly figures. Structure is present but degraded. Artifacts include smudging and loss of texture. Poor stylistic fidelity."
Ukiyo_e__utagawa-kunisada_not_detected_240353__to__Minimalism,Ukiyo_e,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly blurred and washed-out; minimalism not clearly expressed, structure partially preserved but lacks clarity.",5,5,5,Excellent minimalism with bold color blocks and clean composition; source structure fully preserved with no artifacts.,2,3,2,"Similar to LBM-Knee_e13; overly diffuse, minimalism not distinct, structure faintly visible but degraded."
Early_Renaissance__filippo-lippi_confirmation-of-the-carmelite-rule__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very faint Rococo influence; structure is preserved but colors are muddy and lack elegance. Heavy vignetting and blur reduce clarity.,5,5,5,"Excellent Rococo styling with ornate frame, soft pastel palette, and elegant composition. Structure is well-preserved and artifacts are minimal.",2,3,2,"Similar to LBM-Knee_e13 — weak style transfer, heavy vignetting, and low contrast. Structure is intact but visually unrefined."
Rococo__bernardo-bellotto_pirna-seen-from-the-right-bank-of-the-elbe__to__Ukiyo_e,Rococo,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,3,"Very faint, washed-out style; lacks Ukiyo-e characteristics. Structure preserved but overly blurred.",5,5,5,"Strong Ukiyo-e aesthetic with bold lines, flat color blocks, and stylized forms. Excellent structure and minimal artifacts.",3,4,4,Moderate Ukiyo-e influence with some line work and color blocking. Slightly less coherent than Seedream but better than LBM.
Rococo__dmitry-levitzky_portrait-of-unknown-woman-with-a-rose-1788__to__Early_Renaissance,Rococo,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly hazy and washed-out; loses Renaissance texture and detail, introduces heavy blur artifacts.",5,5,5,Excellent preservation of structure and facial features; strong Early Renaissance painterly style with appropriate lighting and texture; minimal artifacts.,3,4,3,Moderate style transfer with some haze; structure mostly preserved but edges softened; minor smudging artifacts present.
Impressionism__winston-churchill_distant-view-of-the-pyramids-1921-1(1)__to__Early_Renaissance,Impressionism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very washed out, lacks Renaissance color depth and texture; structure is preserved but overly blurred.",5,5,5,"Excellent match to the target's warm, earthy palette and aged texture; structure is perfectly preserved with no artifacts.",3,4,3,Better color than LBM but still too pale; noticeable vertical seam artifact on the right edge.
Early_Renaissance__benozzo-gozzoli_madonna-and-child-1485__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Preserves structure well but lacks impressionistic brushwork and color blending; appears too smooth and painterly in a non-impressionist way.,5,5,5,"Excellent impressionistic texture, color harmony, and structural fidelity. Minimal artifacts; best overall match to target style.",3,4,4,Moderate impressionistic feel with some edge preservation; slightly muted colors and less dynamic brushwork than Seedream.
Rococo__maurice-quentin-de-la-tour_marie-josephe-of-saxony-1__to__Rococo,Rococo,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very blurry, low contrast, and lacks Rococo ornamental detail. Structure is preserved but heavily degraded by haze-like artifacts.",5,5,5,"Excellent Rococo styling with ornate frame, soft lighting, and painterly texture. Structure is perfectly preserved with no visible artifacts.",2,3,2,"Similar to LBM-Knee_e13 — overly hazy, low fidelity, and fails to convey Rococo aesthetics. Structure is somewhat retained but obscured by noise."
Early_Renaissance__carlo-crivelli_saint-thomas-aquinas-1476__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Faint, washed-out impressionistic texture; structure partially preserved but overly blurred; significant loss of detail and color fidelity.",5,5,5,Strong Impressionist brushwork and warm palette; excellent preservation of original composition and fine details; minimal artifacts.,3,4,3,Moderate impressionistic effect with visible edge artifacts; structure mostly intact but slightly distorted; some smudging and haloing around edges.
Early_Renaissance__fra-angelico_bosco-ai-frati-altarpiece__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,"Faint, washed-out style; lacks Ukiyo-e texture and line work. Structure mostly preserved but colors are muted and indistinct.",5,5,5,"Excellent Ukiyo-e style transfer with bold lines, flat color blocks, and decorative patterns. Structure perfectly preserved with no artifacts.",3,4,4,Moderate style adoption — some linearity and pattern hints but lacks full Ukiyo-e character. Minor smudging in lower panel; structure intact.
Ukiyo_e__kitagawa-utamaro_the-hour-of-the-horse__to__Early_Renaissance,Ukiyo_e,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,Very weak Early Renaissance style transfer; appears more like aged paper or Japanese woodblock print. Structure preserved but lacks stylistic fidelity. Heavy vignetting and noise artifacts.,5,5,5,"Excellent Early Renaissance style: soft chiaroscuro, warm earth tones, painterly texture. Structure perfectly preserved with no visible artifacts. Best overall match.",3,4,3,"Moderate style transfer — some Renaissance-like warmth and softness, but still retains too much of the original flat graphic quality. Minor edge halos and slight color bleeding. Structure well preserved."
Minimalism__yves-gaucher_traces-2000__to__Ukiyo_e,Minimalism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,1,2,1,Almost entirely blank; no style or structure preserved.,5,5,5,Excellent Ukiyo-e style transfer with clear horizon line and color bands matching target reference.,1,2,1,Blurred and washed out; fails to convey style or structure.
Rococo__thomas-gainsborough_a-coastal-landscape-1782__to__Impressionism,Rococo,Impressionism,Seedream_repaired750,Seedream_repaired750,LBM-Knee_e13,QEdgePattn_e01,4,3,5,4,Preserves structure well but style is muted and lacks Impressionist vibrancy; slight haze reduces clarity.,5,4,3,Strongest Impressionist style with rich color and brushwork; minor structural softening but visually compelling.,2,4,5,Very clean output with minimal artifacts but fails to convey Impressionist style; appears washed out and generic.
Rococo__giovanni-domenico-tiepolo_the-new-world-1797__to__Impressionism,Rococo,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,3,2,2,Overly abstracted; structure heavily distorted with vertical smearing; style is impressionistic but lacks fidelity to source content.,5,5,5,Excellent balance: preserves source composition and figures while applying authentic Impressionist brushwork and color palette; minimal artifacts.,4,3,3,Good style application with visible brushstroke texture; some structural distortion in figure outlines and background; moderate artifacts at edges.
Impressionism__nicolae-vermont_rotterdam-port-1928__to__Ukiyo_e,Impressionism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,3,"Very washed-out, lacks Ukiyo-e color and line quality; structure is preserved but overly blurred.",5,5,5,Excellent Ukiyo-e aesthetic with bold colors and stylized clouds; structure is well-preserved and artifacts are minimal.,3,4,4,Better than LBM but still too pale and lacks the distinct ink-line feel of Ukiyo-e; structure is good.
Early_Renaissance__jacopo-bellini_view-of-a-fortification-of-jerusalem(1)__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,4,"Faint, washed-out output with minimal stylistic interpretation; structure is preserved but lacks clarity or intent.",5,5,5,"Strong minimalism achieved through bold geometric shapes, flat color blocks, and clean edges; source structure faithfully abstracted without noise.",2,3,4,Similar to LBM — overly faded and indistinct; fails to convey minimalism or preserve structural detail effectively.
Early_Renaissance__bartolome-bermejo_death-of-the-virgin-1462__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very faint impressionistic wash; structure is preserved but colors are muted and lack vibrancy. Artifacts include excessive blurring and loss of detail.,5,5,5,Excellent impressionistic brushwork and color palette while maintaining clear structure and minimal artifacts. Best overall result.,2,3,2,Similar to LBM-Knee_e13 — overly washed out with poor color fidelity. Structure is somewhat preserved but lacks clarity and vibrancy.
Impressionism__henri-matisse_brittany-also-known-as-boat-1896__to__Early_Renaissance,Impressionism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,"Very washed-out, lacks Renaissance texture and color depth; structure is somewhat preserved but overly blurred; significant loss of detail and artifact-like smearing.",5,5,5,"Excellent match to Early Renaissance palette and brushwork; source structure (boat, buildings, water) is clearly preserved; minimal artifacts, clean edges and coherent style transfer.",3,4,3,"Moderate Renaissance feel with some texture, but colors are muted and inconsistent; structure is mostly intact but slightly distorted; visible edge artifacts and patchy style application."
Ukiyo_e__kitagawa-utamaro_yama-uba-and-kintaro-1__to__Minimalism,Ukiyo_e,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly blurred and washed out; minimalism not achieved, structure lost in haze.",5,5,5,"Clean vector-like simplification, strong minimal aesthetic, perfect structure retention, no artifacts.",2,3,2,"Similar to LBM — hazy, low contrast, fails to convey minimalism clearly; structure partially preserved but obscured."
Early_Renaissance__andrea-mantegna_scenes-from-the-life-of-st-james-1448-2__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very low color saturation and muted tones; fails to convey Rococo’s lightness and ornamental richness. Structure is somewhat preserved but heavily degraded by noise and blur. High artifact presence.,5,5,5,"Excellent Rococo style transfer: soft pastel palette, delicate brushwork, ornate architectural details, and elegant figures match target reference. Source structure is well-preserved with minimal distortion. Clean output with no visible artifacts.",2,3,2,"Similar to LBM-Knee_e13 — desaturated, grayish wash with poor color fidelity. Structure is partially retained but obscured by heavy texture and edge artifacts. Lacks Rococo’s characteristic vibrancy and refinement."
Impressionism__william-merritt-chase_gray-day-on-the-lagoon-a-passenger-boat-venice__to__Early_Renaissance,Impressionism,Early_Renaissance,QEdgePattn_e01,QEdgePattn_e01,QEdgePattn_e01,QEdgePattn_e01,4,3,4,3,Moderate Early Renaissance texture and color palette; structure mostly preserved but edges slightly softened; visible vignetting and noise artifacts.,2,3,2,"Overly dark and moody, deviating from Early Renaissance warmth; structure blurred with heavy smudging; significant darkening and loss of detail.",5,5,5,Excellent match to Early Renaissance palette and brushwork; structure cleanly preserved with minimal distortion; clean output with no major artifacts.
Ukiyo_e__katsushika-hokusai_ono-shindon-in-the-suraga-province__to__Impressionism,Ukiyo_e,Impressionism,Seedream_repaired750,Seedream_repaired750,QEdgePattn_e01,QEdgePattn_e01,4,2,4,3,Minimal style transfer; retains source structure but lacks impressionistic texture or color.,5,3,3,Strong impressionistic rendering with visible brushwork and warm tones; some structural softening and minor artifacts in figures.,3,5,5,Excellent structure and artifact control; mild impressionistic tint but lacks full stylistic depth.
Ukiyo_e__katsushika-hokusai_fishing-in-the-bay-uraga__to__Minimalism,Ukiyo_e,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly blurred and washed-out; minimalism not clearly expressed, structure partially preserved but details lost.",5,5,5,"Excellent minimalism with clean geometry, strong structural fidelity, and no visible artifacts.",3,4,3,Moderate minimalism; structure mostly preserved but with slight smudging and edge artifacts.
Rococo__thomas-gainsborough_robert-butcher-of-walthamstan__to__Impressionism,Rococo,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very blurry and washed-out; lacks impressionistic brushwork or color vibrancy. Structure is preserved but heavily degraded by haze.,5,5,5,Excellent preservation of original portrait structure with strong impressionistic texture and color blending. No visible artifacts.,2,3,2,Similar to LBM — overly soft and indistinct. Fails to convey impressionist style; structure is present but obscured by blur.
Minimalism__ellsworth-kelly_diagonal-1951__to__Minimalism,Minimalism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Fails to apply minimalism; output is overly blurred and lacks the clean, stark aesthetic of the target. Structure is preserved but degraded by noise.",5,5,5,"Perfectly captures the minimalist style with a clean, uniform background and sharp diagonal line. Structure is perfectly preserved with no artifacts.",3,4,3,"Attempts minimalism but results in a washed-out, low-contrast image. The diagonal line is faint and noisy, indicating poor artifact control and weak style application."
Early_Renaissance__bartolome-bermejo_death-of-the-virgin-1462__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Heavy vignetting and smudging obscure details; Rococo elements are faintly suggested but not clearly rendered.,5,5,5,"Excellent Rococo styling with ornate arches, soft pastels, and decorative motifs; source composition preserved cleanly with no visible artifacts.",3,3,3,"Moderate Rococo influence with some decorative framing, but suffers from blurring and loss of fine detail compared to source."
Impressionism__edouard-manet_tarring-the-boat-1873__to__Rococo,Impressionism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very weak Rococo styling; heavy smudging and loss of detail; structure partially preserved but blurred.,5,5,5,"Excellent Rococo frame integration, faithful structure retention, clean output with no visible artifacts.",3,4,3,Moderate Rococo influence; structure mostly intact but edges softened; some smearing artifacts present.
Ukiyo_e__utagawa-toyokuni_the-heian-courtier__to__Ukiyo_e,Ukiyo_e,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,3,"Fails to capture Ukiyo-e style; appears as a faded, low-contrast version of the source with no stylistic elements.",5,5,5,"Excellent reproduction of Ukiyo-e style, preserving the original structure and color palette without artifacts.",3,4,4,Captures some Ukiyo-e elements but lacks the depth and richness of the target style; structure is well-preserved.
Impressionism__nikolay-bogdanov-belsky_connoisseurs-of-books-knowledge-is-power__to__Ukiyo_e,Impressionism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very washed-out, low contrast; Ukiyo-e stylization is weak and blurry. Structure is preserved but lacks definition. Heavy artifacts from over-smoothing.",5,5,5,"Excellent Ukiyo-e style transfer with bold outlines, flat color regions, and stylized shading. Structure is perfectly preserved. No visible artifacts.",3,4,3,"Moderate Ukiyo-e influence with some line work and color blocking, but overly hazy and low-contrast. Structure is mostly intact. Some smudging artifacts present."
Ukiyo_e__utagawa-kunisada-ii_oichi-from-the-beauties-of-tokyo-series__to__Impressionism,Ukiyo_e,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very faint impressionistic wash; structure blurred but recognizable; heavy vignetting and color bleed artifacts.,5,5,5,Excellent impressionist brushwork and color harmony; source structure perfectly preserved; no visible artifacts.,3,4,3,Moderate impressionist texture; structure well preserved; slight haze and uneven color saturation.
Rococo__giovanni-domenico-tiepolo_christ-s-fall-on-the-way-to-calvary-1772__to__Minimalism,Rococo,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly blurred and washed-out; minimalism not evident, structure lost in haze.",5,5,5,Strong geometric abstraction with clean edges and flat color blocks; faithful to minimalism while preserving key compositional elements.,3,4,3,"Some geometric simplification but retains too much detail and texture; lacks crisp minimalism, slight smudging artifacts."
Minimalism__frank-stella_gezira-from-black-series-ii-1967__to__Ukiyo_e,Minimalism,Ukiyo_e,QEdgePattn_e01,QEdgePattn_e01,QEdgePattn_e01,QEdgePattn_e01,4,2,3,3,Minimal style transfer; pattern preserved but no Ukiyo-e aesthetic applied. Clean output but lacks stylistic intent.,3,4,2,"Strong structural fidelity and some tonal warmth suggesting style, but heavy vignetting and edge artifacts detract from quality.",4,5,5,"Best balance: preserves source geometry perfectly, applies subtle Ukiyo-e-inspired texture and tone without distortion or artifacts."
Early_Renaissance__domenico-ghirlandaio_st-jerome__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Faint, washed-out output with minimal stylistic interpretation; structure is barely visible and lacks clarity.",5,5,5,"Clean, stylized vector-like rendering that preserves key structural elements while applying a minimalist aesthetic effectively.",2,3,2,"Similar to LBM-Knee_e13 — overly faded and indistinct, failing to convey either style or structure clearly."
Minimalism__john-mclaughlin_number-13-1973__to__Minimalism,Minimalism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,"Overly blurred, loses minimalism’s crispness; structure partially preserved but washed out.",5,5,5,"Perfectly captures minimalism: clean lines, high contrast, no artifacts, exact structural match.",3,4,3,Good structure retention but soft blur reduces minimalism’s sharpness; slight halo artifacts.
Impressionism__nicolae-vermont_rotterdam-port-1928__to__Rococo,Impressionism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very weak Rococo style transfer; mostly retains source impressionism with heavy dark vignetting and texture artifacts. Structure is preserved but visually degraded.,5,5,5,"Excellent Rococo style transfer with ornate frame, soft pastel palette, and delicate brushwork. Source structure (boats, skyline, water) is well-preserved. Minimal artifacts.",3,4,3,"Moderate Rococo influence via color and texture, but lacks ornamental framing or stylistic depth. Structure is clean. Some edge smudging and uneven texture."
Ukiyo_e__katsushika-hokusai_woman-looking-at-herself-in-a-mirror__to__Ukiyo_e,Ukiyo_e,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very faded, low contrast; Ukiyo-e style barely perceptible. Structure is preserved but overly blurred. Heavy artifacting and loss of detail.",5,5,5,"Excellent Ukiyo-e style transfer with strong color palette, line work, and compositional fidelity. Structure is perfectly preserved. No visible artifacts.",2,3,2,"Similar to LBM-Knee_e13 — extremely washed out, minimal style transfer. Structure is recognizable but degraded. Artifacts from over-smoothing and color bleed."
Ukiyo_e__kitagawa-utamaro_upon-my-oath__to__Minimalism,Ukiyo_e,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Fails to apply minimalism; output is a faded, low-contrast version of the source with no stylistic reduction or simplification. Structure is preserved but visually degraded.",5,5,5,"Excellent minimalism: clean background, simplified color palette, preserved key structural elements (figure, text), and no artifacts. Faithful to target style while retaining source content.",2,3,2,"Similar to LBM — outputs a washed-out, low-saturation version of the source without applying minimalism. Structure is intact but visually muddy; no stylistic intent achieved."
Ukiyo_e__hiroshige_oiso-toraga-ame-shower-1835__to__Early_Renaissance,Ukiyo_e,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,Poor style transfer; retains original color palette and lacks Renaissance texture or chiaroscuro. Structure is preserved but with visible edge artifacts and noise.,5,5,5,"Excellent Early Renaissance style: warm sepia tones, soft shading, and aged paper texture. Structure fully preserved with no visible artifacts. Best overall match.",3,4,3,"Moderate style transfer — some Renaissance-like aging and tonal shift, but colors remain too vibrant. Minor edge artifacts and slight blurring reduce quality."
Early_Renaissance__fra-angelico_bosco-ai-frati-altarpiece__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Faint, washed-out style transfer; lacks Renaissance texture and color depth. Structure preserved but overly blurred. Artifacts include smudging and loss of detail.",5,5,5,"Excellent Early Renaissance style match with rich colors, chiaroscuro, and period-appropriate rendering. Structure perfectly preserved. No visible artifacts.",3,4,3,Moderate style transfer with some Renaissance tones but lacks depth and texture. Structure well preserved. Minor artifacts in background and drapery.
Minimalism__robert-morris_box-with-the-sound-of-its-own-making-1961__to__Early_Renaissance,Minimalism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,Weak Renaissance style; overly translucent materials and washed-out tones; structure preserved but lacks depth and texture fidelity.,5,5,5,"Strong Early Renaissance aesthetic with rich wood grain, chiaroscuro lighting, and painterly texture; structure perfectly preserved; no visible artifacts.",3,4,3,Moderate style transfer with soft gradients and muted tones; structure well maintained but lacks material realism; slight haloing around edges.
Early_Renaissance__andrea-mantegna_scenes-from-the-life-of-st-james-1448-2__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly blurred and washed-out; minimalism not clearly expressed, structure partially preserved but details lost.",5,5,5,"Strong minimalism with clean geometric forms, excellent structure retention, and no visible artifacts.",2,3,2,"Similar to LBM-Knee_e13; lacks stylistic clarity, structure is faint, and artifacts from blurring are present."
Minimalism__dan-flavin_greens-crossing-greens-to-piet-mondrian-who-lacked-green-1966__to__Ukiyo_e,Minimalism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,QEdgePattn_e01,QEdgePattn_e01,4,2,3,3,Very faint and washed-out style; lacks clear Ukiyo-e characteristics. Structure is preserved but overly blurred. Minimal artifacts but poor stylistic fidelity.,5,4,4,"Strongest Ukiyo-e style transfer with visible brushwork texture, color palette, and compositional framing reminiscent of Hokusai. Slight softening of edges but overall excellent balance.",3,5,5,"Excellent structure and artifact control — clean lines, no distortion. However, style is very muted and lacks distinctive Ukiyo-e features like bold outlines or woodblock texture."
Ukiyo_e__utagawa-kuniyoshi_a-man-confronted-with-an-apparition-of-the-fox-goddess__to__Ukiyo_e,Ukiyo_e,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,3,4,3,Moderate Ukiyo-e style with muted colors and soft edges; structure preserved but lacks crisp detail; some smudging and loss of fine texture.,5,5,5,"Excellent Ukiyo-e style fidelity with bold lines, flat color planes, and traditional composition; structure perfectly preserved; minimal artifacts.",4,4,4,Strong Ukiyo-e influence with clear linework and stylized forms; good structure retention; slight over-smoothing in background areas.
Rococo__maurice-quentin-de-la-tour_study-for-portrait-of-mademoiselle-dangeville-1__to__Ukiyo_e,Rococo,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very faint style transfer; lacks Ukiyo-e characteristics. Structure preserved but overly blurred and washed out.,5,5,5,"Excellent Ukiyo-e style with clean lines, flat color regions, and traditional composition cues. Structure well preserved with no artifacts.",2,3,2,Minimal style transfer; appears as a soft blur over source. No clear Ukiyo-e features. Structure intact but visually unremarkable.
Rococo__giovanni-domenico-tiepolo_the-new-world-1797__to__Minimalism,Rococo,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly blurred and washed-out; loses both style and structure. Minimalist intent not achieved.,5,5,5,"Clean, stylized vector-like aesthetic with strong composition and no artifacts. Best matches minimalism while preserving source structure.",2,3,2,"Similar to LBM — too diffuse, lacks clarity and stylistic intent. Fails to convey minimalism or preserve detail."
Rococo__dmitry-levitzky_maria-feodorovna__to__Minimalism,Rococo,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly blurred and washed out; minimalism not clearly expressed, structure lost in haze.",5,5,5,Clean geometric abstraction with bold color blocks and sharp edges; preserves subject silhouette while achieving strong minimalism.,2,3,2,"Similar to LBM — overly soft, low contrast, lacks clear minimalist structure or edge definition."
Minimalism__pino-pinelli_pittura-r-1993__to__Ukiyo_e,Minimalism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,4,3,"Faint, washed-out red tones lack Ukiyo-e vibrancy; structure preserved but style is too muted and lacks texture or line work.",5,5,5,"Strong Ukiyo-e aesthetic with warm paper tone, rich reds, and subtle texture; structure perfectly preserved; no visible artifacts.",3,4,4,Moderate style transfer with slightly desaturated reds and flat background; structure intact but lacks depth and traditional Ukiyo-e texture.
Minimalism__frank-stella_gezira-from-black-series-ii-1967__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,1,2,2,Fails to apply Rococo style; retains source texture with no stylistic transfer. Structure partially preserved but visually distorted.,5,5,5,"Excellent Rococo floral and ornamental styling applied to left panel while preserving source structure. Clean, artifact-free output.",1,2,2,No Rococo style applied; identical to LBM-Knee_e13. Fails stylistic transfer and introduces minor artifacts.
Rococo__antoine-watteau_the-delicate-musician__to__Early_Renaissance,Rococo,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very low style transfer; image appears faded and lacks Renaissance characteristics. Structure is preserved but overly blurred.,5,5,5,Excellent transfer of the Early Renaissance style with high fidelity to the source structure and no visible artifacts.,2,3,2,"Similar to LBM, this output is very faint and fails to capture the target style. Structure is preserved but lacks detail."
Ukiyo_e__utagawa-kuniyoshi_kuzunoha__to__Minimalism,Ukiyo_e,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Fails to apply minimalism; output is a faded, noisy version of the source with no stylistic reduction or simplification.",5,5,5,"Perfectly captures minimalism by reducing the image to flat, bold color blocks and clean geometric shapes while preserving the original composition and subject.",2,3,2,"Similar to LBM, it fails to apply the target style, resulting in a washed-out, low-contrast image that lacks the defining characteristics of minimalism."
